Parameter,L,X ,Y,Z
Hose Length ,250.29,,,
Spline Length,183.7,,,
1st Vector Length,17,,,
2nd Vector Length,16.1,,,
1st Vector  Point ,,214.798,20.424,-31.092
1st  Vector  End Point ,,214.373,3.398,-30.913
2nd Vector  Point ,,185.61,22.532,-57.384
2nd  Vector  End Point ,,197.861,32.326,-59.542
1st Vector Direction,,-0.024944,-0.999633,0.010536
2nd Vector Direction,,0.773791,0.61861,-0.13627
Point.1,,214.373,3.398,-30.913
Point.2,,214.174,1.561,-30.749
Point.3,,213.899,-0.258,-30.51
Point.4,,213.578,-2.062,-30.218
Point.5,,213.234,-3.856,-29.894
Point.6,,212.883,-5.646,-29.55
Point.7,,212.526,-7.431,-29.191
Point.8,,212.154,-9.209,-28.815
Point.9,,211.753,-10.976,-28.415
Point.10,,211.311,-12.726,-27.985
Point.11,,210.816,-14.454,-27.525
Point.12,,210.268,-16.158,-27.035
Point.13,,209.667,-17.836,-26.52
Point.14,,209.014,-19.489,-25.988
Point.15,,208.313,-21.118,-25.443
Point.16,,207.562,-22.722,-24.89
Point.17,,206.759,-24.3,-24.334
Point.18,,205.9,-25.847,-23.776
Point.19,,204.983,-27.361,-23.219
Point.20,,204.004,-28.838,-22.668
Point.21,,202.965,-30.276,-22.126
Point.22,,201.865,-31.674,-21.598
Point.23,,200.706,-33.03,-21.088
Point.24,,199.489,-34.341,-20.597
Point.25,,198.213,-35.604,-20.128
Point.26,,196.879,-36.813,-19.679
Point.27,,195.485,-37.958,-19.248
Point.28,,194.03,-39.033,-18.834
Point.29,,192.516,-40.03,-18.438
Point.30,,190.947,-40.946,-18.063
Point.31,,189.327,-41.781,-17.715
Point.32,,187.663,-42.537,-17.4
Point.33,,185.958,-43.216,-17.127
Point.34,,184.218,-43.819,-16.9
Point.35,,182.447,-44.343,-16.724
Point.36,,180.649,-44.784,-16.601
Point.37,,178.828,-45.133,-16.529
Point.38,,176.99,-45.384,-16.508
Point.39,,175.141,-45.53,-16.538
Point.40,,173.288,-45.569,-16.618
Point.41,,171.438,-45.499,-16.748
Point.42,,169.601,-45.322,-16.929
Point.43,,167.782,-45.037,-17.163
Point.44,,165.991,-44.648,-17.45
Point.45,,164.235,-44.156,-17.791
Point.46,,162.522,-43.564,-18.187
Point.47,,160.861,-42.874,-18.639
Point.48,,159.257,-42.089,-19.144
Point.49,,157.721,-41.213,-19.703
Point.50,,156.257,-40.25,-20.314
Point.51,,154.874,-39.205,-20.974
Point.52,,153.577,-38.082,-21.681
Point.53,,152.373,-36.888,-22.433
Point.54,,151.265,-35.628,-23.225
Point.55,,150.258,-34.309,-24.054
Point.56,,149.355,-32.938,-24.918
Point.57,,148.558,-31.521,-25.813
Point.58,,147.869,-30.066,-26.733
Point.59,,147.288,-28.578,-27.677
Point.60,,146.817,-27.063,-28.638
Point.61,,146.453,-25.527,-29.614
Point.62,,146.198,-23.977,-30.601
Point.63,,146.049,-22.418,-31.595
Point.64,,146.004,-20.854,-32.593
Point.65,,146.062,-19.292,-33.592
Point.66,,146.219,-17.736,-34.59
Point.67,,146.473,-16.191,-35.585
Point.68,,146.82,-14.66,-36.575
Point.69,,147.258,-13.148,-37.556
Point.70,,147.781,-11.656,-38.527
Point.71,,148.388,-10.187,-39.485
Point.72,,149.072,-8.744,-40.428
Point.73,,149.832,-7.326,-41.353
Point.74,,150.663,-5.936,-42.259
Point.75,,151.56,-4.575,-43.144
Point.76,,152.52,-3.241,-44.006
Point.77,,153.537,-1.935,-44.845
Point.78,,154.605,-0.655,-45.659
Point.79,,155.719,0.602,-46.448
Point.80,,156.873,1.837,-47.213
Point.81,,158.064,3.051,-47.955
Point.82,,159.291,4.244,-48.672
Point.83,,160.556,5.411,-49.366
Point.84,,161.86,6.548,-50.035
Point.85,,163.206,7.651,-50.679
Point.86,,164.59,8.72,-51.298
Point.87,,166.005,9.763,-51.893
Point.88,,167.438,10.793,-52.468
Point.89,,168.876,11.823,-53.027
Point.90,,170.312,12.866,-53.569
Point.91,,171.743,13.923,-54.096
Point.92,,173.18,14.981,-54.603
Point.93,,174.641,16.019,-55.082
Point.94,,176.146,17.011,-55.525
Point.95,,177.703,17.939,-55.923
Point.96,,179.305,18.806,-56.274
Point.97,,180.931,19.643,-56.584
Point.98,,182.549,20.507,-56.865
Point.99,,184.122,21.455,-57.129
Point.100,,185.61,22.532,-57.384
