Parameter,L,X ,Y,Z
Hose Length ,259.7,,,
Spline Length,196.7,,,
1st Vector Length,15,,,
2nd Vector Length,48,,,
1st Vector  Point ,,-60,45,13
1st  Vector  End Point ,,-45,45,13
2nd Vector  Point ,,-62.34,113.38,43.05
2nd  Vector  End Point ,,-92.91,149.82,36.63
1st Vector Direction,,1,0,0
2nd Vector Direction,,-0.637003,0.75915,-0.133859
Point.1,,-45,45,13
Point.2,,-41.067,44.918,12.986
Point.3,,-37.14,44.686,12.949
Point.4,,-33.222,44.336,12.897
Point.5,,-29.313,43.902,12.838
Point.6,,-25.408,43.427,12.786
Point.7,,-21.503,42.951,12.75
Point.8,,-17.593,42.519,12.745
Point.9,,-13.674,42.179,12.783
Point.10,,-9.747,41.984,12.88
Point.11,,-5.817,41.991,13.05
Point.12,,-1.902,42.266,13.309
Point.13,,1.965,42.878,13.673
Point.14,,5.734,43.89,14.152
Point.15,,9.333,45.355,14.75
Point.16,,12.677,47.295,15.458
Point.17,,15.687,49.693,16.255
Point.18,,18.3,52.503,17.11
Point.19,,20.476,55.657,17.985
Point.20,,22.195,59.086,18.848
Point.21,,23.442,62.722,19.669
Point.22,,24.208,66.502,20.43
Point.23,,24.487,70.362,21.125
Point.24,,24.276,74.235,21.761
Point.25,,23.573,78.057,22.357
Point.26,,22.385,81.759,22.939
Point.27,,20.72,85.27,23.54
Point.28,,18.602,88.517,24.188
Point.29,,16.068,91.435,24.906
Point.30,,13.174,93.972,25.708
Point.31,,9.992,96.104,26.593
Point.32,,6.595,97.835,27.555
Point.33,,3.05,99.194,28.582
Point.34,,-0.59,100.223,29.659
Point.35,,-4.287,100.97,30.775
Point.36,,-8.015,101.487,31.917
Point.37,,-11.76,101.82,33.074
Point.38,,-15.513,102.012,34.239
Point.39,,-19.27,102.106,35.4
Point.40,,-23.032,102.141,36.55
Point.41,,-26.8,102.157,37.679
Point.42,,-30.578,102.197,38.776
Point.43,,-34.368,102.306,39.825
Point.44,,-38.169,102.541,40.809
Point.45,,-41.976,102.964,41.704
Point.46,,-45.77,103.653,42.475
Point.47,,-49.513,104.695,43.08
Point.48,,-53.136,106.17,43.472
Point.49,,-56.541,108.128,43.605
Point.50,,-59.627,110.556,43.462
Point.51,,-62.34,113.378,43.055
