twist,youngs_modulus,base_radius,density,coner_angle,tgt_dir
78.10003092609549,0.0075077732534297136,2.5879985894910202,2.3425101898558536e-06,1.8901918718786725,"[[np.float64(0.6396210109628756) np.float64(0.762538917650125)
  np.float64(-0.09705339460217216)]
 [np.float64(-0.07479270507471691) np.float64(0.1873953977786709)
  np.float64(0.9794330074890166)]
 [np.float64(0.7538848081167855) np.float64(-0.6389570910481458)
  np.float64(0.15294290401979768)]]"
-85.20667455935978,0.005924418625809341,4.249208157931367,3.436953220341972e-07,4.978459059947044,"[[np.float64(-0.5636484065713493) np.float64(-0.80484703655376)
  np.float64(-0.18580021937610747)]
 [np.float64(0.3120338370738067) np.float64(0.0008025874953970433)
  np.float64(-0.9500706502015045)]
 [np.float64(0.8095353656182258) np.float64(-0.5568809501329312)
  np.float64(0.18583890656267182)]]"
-90.10354843919703,0.002342527371954035,2.3248518646805056,2.1224808595601494e-06,3.4649235514396484,"[[np.float64(-0.6404154070039599) np.float64(-0.7594643146934332)
  np.float64(-0.11437683847346947)]
 [np.float64(0.22991526776459412) np.float64(-0.047482264645872206)
  np.float64(-0.9720516468752236)]
 [np.float64(0.7725079856943853) np.float64(-0.604320413551261)
  np.float64(0.1950083326518036)]]"
179.81053141710436,0.0061279114835123384,1.6013618813389527,2.5320964888263533e-06,4.798307725328036,"[[np.float64(-0.03974702846506159) np.float64(-0.0996817400623395)
  np.float64(0.9942251879862739)]
 [np.float64(-0.6016497030923391) np.float64(-0.7920310523811381)
  np.float64(-0.1034622966733619)]
 [np.float64(0.7886272686226955) np.float64(-0.6124868202718643)
  np.float64(0.05410107372287702)]]"
86.00430474917346,0.008492959153402754,2.193537315028607,7.44554730239647e-07,6.20867190890846,"[[np.float64(0.5395774508111951) np.float64(0.8418321302394041)
  np.float64(0.013222672675358801)]
 [np.float64(-0.2120226352114544) np.float64(0.12066474545370345)
  np.float64(0.9697867917035082)]
 [np.float64(0.7513692584305429) np.float64(-0.6138561099515113)
  np.float64(0.242125822168422)]]"
152.76961614699917,0.0048609991573797485,3.576598600714866,2.7355117988704095e-06,7.113065356363066,"[[np.float64(-0.023540817839325212) np.float64(0.4573947425860833)
  np.float64(0.8889521243295762)]
 [np.float64(-0.4894622640317772) np.float64(-0.7806083463144299)
  np.float64(0.38868663696239636)]
 [np.float64(0.8171326343138802) np.float64(-0.5343191393096072)
  np.float64(0.21632687143926282)]]"
-104.00022338839567,0.0062616526665461684,3.1173589656642493,2.6770033562448006e-07,8.634449097682506,"[[np.float64(-0.49538813339729343) np.float64(-0.8541812391896599)
  np.float64(0.1580031895423717)]
 [np.float64(0.1645565582644992) np.float64(-0.2708753941577869)
  np.float64(-0.948444863959949)]
 [np.float64(0.8589372990906486) np.float64(-0.4944834148897922)
  np.float64(0.13308970144151472)]]"
64.55919666085879,0.007832900963868834,2.8191344099315616,9.651079534377464e-07,5.5444365746008035,"[[np.float64(0.656796875516215) np.float64(0.681782682135784)
  np.float64(-0.3221649246145119)]
 [np.float64(0.035882516843669256) np.float64(0.3984943089816731)
  np.float64(0.916468619590536)]
 [np.float64(0.711820052806363) np.float64(-0.679056188452791)
  np.float64(0.17942938819132795)]]"
-54.279088973511975,0.004250822651683117,3.9954366751008297,1.1875216745272155e-06,7.365430001715283,"[[np.float64(-0.303202052312556) np.float64(-0.7002106107951526)
  np.float64(-0.6463540949072216)]
 [np.float64(0.5288511163269566) np.float64(0.4405964653379732)
  np.float64(-0.725390413151026)]
 [np.float64(0.8478523487211711) np.float64(-0.513773760682461)
  np.float64(0.13108362827674314)]]"
166.14955073941633,0.00528182065152653,1.2829374860025686,1.328264662878658e-06,5.383969306212579,"[[np.float64(0.0663240680220605) np.float64(0.10623932343558781)
  np.float64(0.9921261634272899)]
 [np.float64(-0.7358374971248068) np.float64(-0.6663423786087046)
  np.float64(0.12054464855477257)]
 [np.float64(0.7318337520298978) np.float64(-0.677227135225055)
  np.float64(0.07604450476337808)]]"
-120.42596667719268,0.0032918058307218937,2.163896728495911,2.451776798376954e-07,1.9052415500420672,"[[np.float64(-0.6437860765762913) np.float64(-0.6527709658075636)
  np.float64(0.39928630555676003)]
 [np.float64(-0.1268492548156271) np.float64(-0.4235427407865156)
  np.float64(-0.8969508421757384)]
 [np.float64(0.7735455429677404) np.float64(-0.610898295164644)
  np.float64(0.16861365875775056)]]"
162.5118441055231,0.005960787988179087,1.2434530654277853,2.765660123508815e-06,7.867964894282672,"[[np.float64(0.22233835718864325) np.float64(0.08171026696654785)
  np.float64(0.9715395448436006)]
 [np.float64(-0.5642915216534182) np.float64(-0.8018309723490782)
  np.float64(0.1965761185185055)]
 [np.float64(0.8042612905650497) np.float64(-0.5942571214017103)
  np.float64(0.00471700773731526)]]"
-69.2073111980299,0.0010537062841487037,4.0110389686439145,2.4070748051465335e-06,9.680125403897824,"[[np.float64(-0.4061906983404769) np.float64(-0.7950585310179807)
  np.float64(-0.4504342891446059)]
 [np.float64(0.2598744808445113) np.float64(0.3720683501682606)
  np.float64(-0.8910838327614661)]
 [np.float64(0.7980250368265622) np.float64(-0.6018825622912416)
  np.float64(-0.02989016238988873)]]"
-31.584366036069213,0.0031605584696347863,2.0188730751768844,2.005327646419308e-06,2.2468751651728445,"[[np.float64(-0.18037549099311015) np.float64(-0.40366151521223204)
  np.float64(-0.8969515390396292)]
 [np.float64(0.6233884756808747) np.float64(0.6584550006098191)
  np.float64(-0.42169161784436576)]
 [np.float64(0.7590841140100768) np.float64(-0.6280291190578933)
  np.float64(0.17137891781926773)]]"
-160.58820306006095,0.005026470996509838,3.6554203972363837,4.768220852507975e-07,7.707127953952044,"[[np.float64(-0.31824819462803544) np.float64(-0.29320538925620887)
  np.float64(0.9015257546665602)]
 [np.float64(-0.2981753702308124) np.float64(-0.8717465751370552)
  np.float64(-0.3887793169968436)]
 [np.float64(0.8496063896258987) np.float64(-0.507795372597884)
  np.float64(0.14252312891254448)]]"
4.880070078153523,0.0024522599592020303,3.0445081509381895,1.7340758965224201e-06,0.14873709711074123,"[[np.float64(0.22454565878827668) np.float64(0.06691240650528792)
  np.float64(-0.9721635546424326)]
 [np.float64(0.5924164619601958) np.float64(0.7827344779333351)
  np.float64(0.1907078201149422)]
 [np.float64(0.7750588624474891) np.float64(-0.6174465091409337)
  np.float64(0.13432634920699363)]]"
10.211019374402355,0.00574136452990146,1.2305542217682173,4.3830473809939226e-07,3.3357106132291534,"[[np.float64(0.2803955750845754) np.float64(0.13756742111388695)
  np.float64(-0.9499755397488215)]
 [np.float64(0.5611049833374633) np.float64(0.7794880909797847)
  np.float64(0.27849508737957285)]
 [np.float64(0.7516212620682526) np.float64(-0.6321253367592254)
  np.float64(0.18836941639757498)]]"
17.800734963138268,0.004820511249321486,1.1504168725754371,1.693736984978124e-06,3.5488024895482315,"[[np.float64(0.3640676153873965) np.float64(0.22920362169863837)
  np.float64(-0.902729456274892)]
 [np.float64(0.5341637539719475) np.float64(0.7426119105321868)
  np.float64(0.40397603181170544)]
 [np.float64(0.7485911590621723) np.float64(-0.656319963528626)
  np.float64(0.09410303952443186)]]"
19.008125893616523,0.0028331672821740395,4.864564682143868,2.0936858158449144e-06,2.045945202861612,"[[np.float64(0.3703894074818829) np.float64(0.24922136510554657)
  np.float64(-0.894818639725474)]
 [np.float64(0.5237371146497474) np.float64(0.7395702189416572)
  np.float64(0.42277100893148617)]
 [np.float64(0.7595237051788402) np.float64(-0.6407385712171219)
  np.float64(0.11215090113792113)]]"
0.8937027869491772,0.006513085893392103,3.612563440892765,8.791012333631393e-07,2.8684604366569917,"[[np.float64(0.18262421361049458) np.float64(0.012465889421056612)
  np.float64(-0.9831037575983983)]
 [np.float64(0.6059253878698458) np.float64(0.7860292270433684)
  np.float64(0.12252542009061484)]
 [np.float64(0.7792135735953715) np.float64(-0.5996646405158841)
  np.float64(0.18228693216927638)]]"
-65.45992191012171,0.004772216630412735,3.178137594544215,2.2716110460560084e-06,9.098317401877527,"[[np.float64(-0.5126567641537072) np.float64(-0.6788121808479508)
  np.float64(-0.5257347860850559)]
 [np.float64(0.5352151719750885) np.float64(0.22613794172538468)
  np.float64(-0.8138834996483729)]
 [np.float64(0.7640585847599798) np.float64(-0.5768052366358127)
  np.float64(0.28898131089065426)]]"
11.529122696829972,0.004691769603561335,2.7430443776685767,1.405922745592417e-06,7.847212718137281,"[[np.float64(0.30752431947799463) np.float64(0.14178993169934115)
  np.float64(-0.9409167913255094)]
 [np.float64(0.575335826603998) np.float64(0.7599019713137877)
  np.float64(0.3025519469765708)]
 [np.float64(0.7209214028409099) np.float64(-0.6921964664266398)
  np.float64(0.03371027725143513)]]"
157.40400932946488,0.009349169287486823,2.863537369515962,1.2370455985844091e-06,1.4847450539540814,"[[np.float64(0.03703765924160786) np.float64(0.3306273391193406)
  np.float64(0.9430343442445599)]
 [np.float64(-0.6147445753843674) np.float64(-0.7364577204917369)
  np.float64(0.28234576845351955)]
 [np.float64(0.7782233049601545) np.float64(-0.6074630663011196)
  np.float64(0.1592391619449698)]]"
-7.136569375482708,0.006419637374458468,1.3258556341649688,2.5619813399441118e-06,0.6220663733109524,"[[np.float64(0.09541501391574121) np.float64(-0.09680891784346805)
  np.float64(-0.9907189351907209)]
 [np.float64(0.626380155948025) np.float64(0.7793569949303968)
  np.float64(-0.015829551086156395)]
 [np.float64(0.7668989874911397) np.float64(-0.6265195155607519)
  np.float64(0.13906559461845952)]]"
-35.821584103697035,0.00976104789761129,1.1721912728524333,2.215877126634712e-06,9.870570092246037,"[[np.float64(-0.2597629467092665) np.float64(-0.4168802188556124)
  np.float64(-0.8710534396027695)]
 [np.float64(0.5297778157716048) np.float64(0.6926362985424148)
  np.float64(-0.489479748158931)]
 [np.float64(0.6959006048369806) np.float64(-0.7178789251934363)
  np.float64(0.019292406553910027)]]"
