case,twist,youngs_modulus,base_radius,density,coner_angle,length,tgt_dir
1,-8.611093929946971,0.00333421860274377,2.221018286231589,1.2673482382305e-06,2.9019187187867255,167.66914394980756,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.22979799024438888) np.float64(0.9385775282281543)
  np.float64(-0.2574200986418273)]]"
1,-4.568474982014661,0.0039405746842764615,2.242014023245071,1.2370009287469727e-06,3.971236544667491,164.68199341945177,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2363628353538318) np.float64(0.9207704642958935)
  np.float64(-0.3103455528017475)]]"
1,9.242593234025296,0.003755522210297527,2.607352845999669,1.3148052980168797e-06,8.476794261248198,174.86361123013887,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3172129262845236) np.float64(0.9414898807221744)
  np.float64(-0.11389804166777934)]]"
1,6.578320630453767,0.003922781562236187,2.5218581141138414,1.3346755019300855e-06,5.338432875715169,174.58379895909937,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.23552506068350515) np.float64(0.9552925324135619)
  np.float64(-0.17872918985133637)]]"
1,8.17343817816922,0.003703392322939983,2.3765395449850635,1.2525081394396428e-06,8.553992816800331,158.84716680024317,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3220972959945999) np.float64(0.8649386920415207)
  np.float64(-0.3848823078844631)]]"
1,5.222098117557962,0.0035253221332369336,2.6697911432820627,1.1418795805843647e-06,4.844490976825057,171.2675111036192,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.33108276534982034) np.float64(0.9244024818813623)
  np.float64(-0.18937859958267095)]]"
1,4.842243641529613,0.003454441937876811,2.397208804895517,1.1917313973517978e-06,4.422475285135564,155.54679010508588,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.28754826287061735) np.float64(0.8998772856264964)
  np.float64(-0.3279281435521803)]]"
1,-6.228166244958521,0.003799341448784268,2.461798980833628,1.2214552633860117e-06,9.57578501696144,160.29347510696974,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3494752485097651) np.float64(0.8527449831707665)
  np.float64(-0.3881920199542066)]]"
1,-9.409666937238718,0.003408457900473057,2.432349449857899,1.2168269270639841e-06,7.097418212397772,157.1578990507803,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3563987031921832) np.float64(0.9206254671878682)
  np.float64(-0.1594638314102909)]]"
1,1.1048310008413473,0.0038622368821104613,2.3143255136167062,1.170623635238088e-06,5.630718696743386,150.84120530684916,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.3647969313228625) np.float64(0.8870046135686186)
  np.float64(-0.2831007142439035)]]"
