X,Y,Z
91.97,-303.94,655.61
91.96385684292649,-302.3062206932621,655.6093705085048
91.9476696991367,-300.6738606355394,655.5424007288681
91.92468622851797,-299.04557784210186,655.4097936758336
91.89818734692322,-297.4238939421766,655.21249846348
91.87147284365874,-295.8111881083021,654.9516970872887
91.84784753368274,-294.2096934329236,654.6287911762948
91.83060795646485,-292.62149555052116,654.2453890059356
91.82302960099409,-291.04853326887644,653.8032930149685
91.82835460877544,-289.49260094574464,653.3044880181309
91.84977988454298,-287.9553523302303,652.7511302518429
91.89044552845259,-286.4383055791294,652.1455373349332
91.95342349416461,-284.942849157584,651.4901791721334
92.04170637446927,-283.4702483394122,650.7876697762367
92.15819622017064,-282.02165203460737,650.040759936804
92.30569330811126,-280.5980996886348,649.2523306204471
92.4868847903838,-279.2005280198179,648.4253869504224
92.70433317822902,-277.82977738589346,647.5630525832554
92.96046463979715,-276.4865975986159,646.6685642769196
93.25755712035478,-275.17165303463804,645.745266430323
93.59772832516347,-273.88552692212664,644.7966053667556
93.98292363821639,-272.62872471394365,643.8261231356776
94.41490408287379,-271.401676490354,642.8374506168645
94.89523446191646,-270.20473836574695,641.8342997290133
95.42527184315318,-269.038192904683,640.8204545705466
96.00615458144965,-267.9022485821045,639.7997613532445
96.6387920869199,-266.79703835023975,638.776117028215
97.32385556160926,-265.72261740005723,637.7534565477622
98.06176993202598,-264.67896022763324,636.7357387547327
98.85270720123458,-263.66595713494564,635.7269309409282
99.69658143217384,-262.68341031007316,634.7309921662959
100.59304555286589,-261.73102964264154,633.751855480183
101.54149014465985,-260.80842843752396,632.793409231173
102.54104433720443,-259.91511919145245,631.8594776928835
103.59057889015675,-259.0505095948276,630.9538012666072
104.68871149226074,-258.21389891377794,630.0800165469374
105.83381425589836,-257.40447489618987,629.2416365519431
107.02402333151092,-256.621311330248,628.4420314250442
108.25725051295623,-255.86336636577292,627.6844099095835
109.53119665486143,-255.12948168799193,626.9718018814235
110.84336667792498,-254.4183826111917,626.3070421981602
112.1910858999892,-253.72867913692264,625.6927560887043
113.57151740101244,-253.05886799899469,625.1313462641015
114.98168011024255,-252.4073356961738,624.6249818822326
116.41846729421694,-251.77236249435364,624.1755894471711
117.8786651256132,-251.15212736335374,623.7848456706568
119.35897102453657,-250.54471380017858,623.4541722706822
120.8560114853674,-249.94811648084342,623.1847326325633
122.36635913291214,-249.36024867670108,622.9774302131341
123.88654878908211,-248.7789503688613,622.8329085300569
125.41309237532393,-248.2019969952104,622.7515525479192
126.94249252384186,-247.62710876840524,622.7334912500837
128.47125482066164,-247.0519605097952,622.7786011727812
129.9958986545624,-246.4741919521342,622.8865106737178
131.5129666955005,-245.89141847339405,623.056604712907
133.0190330732529,-245.30124223319515,623.2880299371236
134.51071037006093,-244.70126369249084,623.5796998808305
135.9846555792716,-244.0890935046863,623.9303001245391
137.43757521397362,-243.4623647720849,624.3382932855512
138.8662297752432,-242.81874566458958,624.801923753676
140.26743780782613,-242.15595239762447,625.3192221260247
141.63807978216713,-241.4717625626547,625.8880093372599
142.97510204502476,-240.76402879645775,626.5059005249382
144.27552107665883,-240.03069276415695,627.1703087112395
145.5364282809672,-239.26979941621755,627.8784484221052
146.75499551610739,-238.47951146100473,628.6273394006126
147.9284815472756,-237.65812397316094,629.4138106025688
149.05423957123037,-236.8040790337235,630.2345046875056
150.12972592399163,-235.91598027214712,631.0858832364155
151.15251004012697,-234.99260715359193,631.9642329379243
152.12028568438842,-234.03292882832798,632.8656729861541
153.03088342591002,-233.03611733507282,633.7861639259697
153.8822842723787,-232.00155992773102,634.7215181637407
154.67263432808477,-230.92887027685364,635.6674123348665
155.4002602873457,-229.8178982844951,636.6194016823022
156.06368552463775,-228.6687382450431,637.5729365546302
156.66164649713153,-227.48173508673247,638.5233810781018
157.1931091357446,-226.2574884392805,639.4660339963026
157.65728486911541,-224.99685429330924,640.3961516051567
158.05364590274988,-223.70094404733376,641.3089726417962
158.38193936447826,-222.37112077760793,642.1997449164174
158.6421999282082,-221.00899261477565,643.0637534084084
158.83476054173744,-219.61640316774302,643.8963494851861
158.9602609110153,-218.19541899803727,644.692980846881
159.01965343268643,-216.74831421509938,645.4492217546606
159.01420631776625,-215.27755233230567,646.1608030678573
158.94550371061615,-213.7857655922133,646.8236415965051
158.81544267699752,-212.27573203501876,647.4338682734177
158.6262270100663,-210.75035064400183,647.98785466317
158.3803578814246,-209.2126149528979,648.4822373554351
158.08062144213733,-207.6655855409449,648.9139398352847
157.73007355340772,-206.11236186977715,649.2801914817419
157.33202189507423,-204.55605393119578,649.5785434167436
156.8900057596293,-202.99975417591784,649.8068810056035
156.40777388796238,-201.44651018011012,649.9634328950698
155.8892607386503,-199.89929848031622,650.0467765618552
155.33856160431804,-198.36099996898577,650.0558404305294
154.7599069959044,-196.8343771942708,649.98990270037
154.15763670901617,-195.32205385132607,649.8485870950043
153.53617396654155,-193.82649669016965,649.6318558118123
152.9,-192.35,649.34
