X,Y,Z
0.0,0.0,0.0
-0.003937421044694137,0.0046703588906585125,-0.004009754070519131
-0.003937421044694137,0.0046703588906585125,-0.004009754070519131
-0.013846995226742475,0.005196241286479935,-0.021256806925968694
-0.013846995226742475,0.005196241286479935,-0.021256806925968694
-0.02648407701915121,0.0014394913495849252,-0.047561762647365745
-0.02648407701915121,0.0014394913495849252,-0.047561762647365745
-0.041165238989246615,-0.005938616432896091,-0.08102899803836097
-0.041165238989246615,-0.005938616432896091,-0.08102899803836097
-0.057346199927611634,-0.01649555101616239,-0.12024893443406619
-0.057346199927611634,-0.01649555101616239,-0.12024893443406619
-0.07454881935823636,-0.02988423000170371,-0.16407891616002154
-0.07454881935823636,-0.02988423000170371,-0.16407891616002154
-0.09235422218464863,-0.04581291409071594,-0.2115763434823237
-0.09235422218464864,-0.04581291409071594,-0.2115763434823237
-0.11039834912492019,-0.06402818249528504,-0.261960417241662
-0.11039834912492019,-0.06402818249528504,-0.261960417241662
-0.12836690977165813,-0.08430571256360342,-0.31458415055409844
-0.12836690977165813,-0.08430571256360342,-0.31458415055409844
-0.14599012057294314,-0.10644435398859634,-0.36891199501287975
-0.14599012057294314,-0.10644435398859634,-0.36891199501287975
-0.1630376084323643,-0.1302618691108232,-0.4245013496092828
-0.1630376084323643,-0.1302618691108232,-0.4245013496092828
-0.1793136836051377,-0.1555916466603264,-0.48098707902177856
-0.1793136836051377,-0.1555916466603264,-0.48098707902177856
-0.19465307125879253,-0.1822800527448988,-0.5380684910592044
-0.19465307125879253,-0.1822800527448988,-0.5380684910592044
-0.208917127557103,-0.21018423778516238,-0.5954983737476189
-0.208917127557103,-0.21018423778516238,-0.5954983737476189
-0.22199053152596562,-0.23917029343471047,-0.6530737773602947
-0.22199053152596562,-0.23917029343471047,-0.6530737773602947
-0.23377842501481727,-0.26911169387011946,-0.7106282822815587
-0.2337784250148173,-0.26911169387011946,-0.7106282822815587
-0.24420396269553407,-0.2998879791496046,-0.768025534307528
-0.24420396269553407,-0.2998879791496046,-0.768025534307528
-0.25320622855638675,-0.3313836524714366,-0.8251538610634059
-0.25320622855638675,-0.3313836524714366,-0.8251538610634059
-0.26073847284839036,-0.3634872718118481,-0.8819218096510626
-0.26073847284839036,-0.3634872718118481,-0.8819218096510626
-0.2667666229459239,-0.39609072148277635,-0.9382544680019405
-0.2667666229459239,-0.39609072148277635,-0.9382544680019405
-0.2712680225798306,-0.4290886517113049,-0.9940904515984104
-0.2712680225798306,-0.4290886517113049,-0.9940904515984104
-0.2742303560934306,-0.46237807512875984,-1.0493794538033017
-0.2742303560934306,-0.46237807512875984,-1.0493794538033017
-0.27565071754542286,-0.49585810862249524,-1.1040802723849925
-0.27565071754542286,-0.49585810862249524,-1.1040802723849925
-0.2755347884377503,-0.5294298478110623,-1.1581592372269118
-0.2755347884377503,-0.5294298478110623,-1.1581592372269118
-0.2738960923675126,-0.5629963598501586,-1.2115889748911441
-0.2738960923675126,-0.5629963598501586,-1.2115889748911441
-0.2707552997626406,-0.5964627786905423,-1.2643474548578628
-0.2707552997626406,-0.5964627786905423,-1.2643474548578628
-0.2661395608334626,-0.6297364855422355,-1.3164172700574295
-0.2661395608334626,-0.6297364855422355,-1.3164172700574297
-0.26008184974553245,-0.6627273563236512,-1.3677851109091819
-0.26008184974553245,-0.6627273563236512,-1.3677851109091819
-0.25262030761468895,-0.69534805738373,-1.418441397630139
-0.25262030761468895,-0.69534805738373,-1.418441397630139
-0.24379757610700264,-0.7275143708060844,-1.4683800402212133
-0.24379757610700264,-0.7275143708060845,-1.4683800402212133
-0.23366011710403017,-0.7591455311087287,-1.5175982994126826
-0.23366011710403017,-0.7591455311087287,-1.5175982994126826
-0.22225751702027477,-0.7901645560770045,-1.566096725081615
-0.22225751702027477,-0.7901645560770045,-1.566096725081615
-0.20964177692439043,-0.8204985557252785,-1.6138791513580364
-0.20964177692439043,-0.8204985557252785,-1.6138791513580364
-0.19586659163561082,-0.8500790048815531,-1.6609527299196496
-0.19586659163561082,-0.8500790048815531,-1.6609527299196496
-0.18098662247751882,-0.8788419665364264,-1.707327984928924
-0.18098662247751882,-0.8788419665364264,-1.707327984928924
-0.1650567694197239,-0.906728254810205,-1.7530188747716864
-0.1650567694197239,-0.906728254810205,-1.7530188747716864
-0.14813144897426356,-0.9336835280953208,-1.7980428472767962
-0.14813144897426356,-0.9336835280953208,-1.7980428472767962
-0.13026388448859172,-0.9596583045633504,-1.8424208764839416
-0.13026388448859172,-0.9596583045633504,-1.8424208764839416
-0.11150541543779725,-0.9846078937330279,-1.8861774703163519
-0.11150541543779725,-0.9846078937330279,-1.8861774703163519
-0.09190483200740455,-1.0084922391318918,-1.929340639729462
-0.09190483200740455,-1.0084922391318918,-1.929340639729462
-0.07150774071131123,-1.0312756682068447,-1.9719418210517137
-0.07150774071131123,-1.0312756682068447,-1.9719418210517137
-0.05035596603765155,-1.0529265465062612,-2.0140157443017372
-0.05035596603765155,-1.0529265465062612,-2.0140157443017372
-0.02848699218420961,-1.0734168337225798,-2.055600241232241
-0.02848699218420961,-1.0734168337225798,-2.055600241232241
-0.005933447854106432,-1.0927215393958123,-2.0967359876718503
-0.005933447854106432,-1.0927215393958123,-2.0967359876718503
0.017277364151665982,-1.1108180758676505,-2.1374661753465216
0.017277364151665982,-1.1108180758676505,-2.1374661753465216
0.04112389217361003,-1.1276855053543489,-2.1778361086680262
0.04112389217361003,-1.1276855053543489,-2.1778361086680262
0.06559071687943287,-1.1433036766560052,-2.2178927218466744
0.06559071687943285,-1.1433036766560052,-2.2178927218466744
0.09066889110603997,-1.157652244877747,-2.2576840109324743
0.09066889110603997,-1.157652244877747,-2.257684010932474
0.11635624275770053,-1.1707095643807874,-2.297258373749231
