Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,163.32,,,
1st Vector Length,20.00304224,,,
2nd Vector Length,19.99829575,,,
1st Vector  Point,,103.29,-319.96,653.41
1st  Vector  End Point,,89.933,-305.137,654.821
2nd Vector  Point,,175.145,-261.922,663.282
2nd  Vector  End Point,,189.73,-251.12,671.68
1st Vector Direction,,-0.667606,0.741183,0.070355
2nd Vector Direction,,0.729351,0.540159,0.419851
Point.1,,89.933,-305.137,654.821
Point.2,,88.827,-303.914,654.881
Point.3,,87.706,-302.707,654.95
Point.4,,86.576,-301.514,655.103
Point.5,,85.462,-300.306,655.247
Point.6,,84.363,-299.082,655.361
Point.7,,83.275,-297.848,655.485
Point.8,,82.21,-296.597,655.637
Point.9,,81.179,-295.322,655.818
Point.10,,80.177,-294.028,656.027
Point.11,,79.194,-292.724,656.261
Point.12,,78.244,-291.401,656.522
Point.13,,77.36,-290.039,656.813
Point.14,,76.542,-288.644,657.14
Point.15,,75.761,-287.237,657.501
Point.16,,75.005,-285.823,657.891
Point.17,,74.302,-284.392,658.312
Point.18,,73.695,-282.931,658.779
Point.19,,73.182,-281.448,659.287
Point.20,,72.723,-279.956,659.821
Point.21,,72.303,-278.459,660.372
Point.22,,71.96,-276.954,660.954
Point.23,,71.745,-275.446,661.586
Point.24,,71.644,-273.942,662.255
Point.25,,71.61,-272.441,662.94
Point.26,,71.625,-270.945,663.635
Point.27,,71.74,-269.466,664.354
Point.28,,72.008,-268.023,665.108
Point.29,,72.4,-266.618,665.877
Point.30,,72.854,-265.233,666.65
Point.31,,73.358,-263.87,667.43
Point.32,,73.978,-262.554,668.208
Point.33,,74.763,-261.318,668.964
Point.34,,75.664,-260.15,669.704
Point.35,,76.612,-259.021,670.443
Point.36,,77.607,-257.931,671.181
Point.37,,78.709,-256.928,671.888
Point.38,,79.941,-256.046,672.537
Point.39,,81.249,-255.244,673.142
Point.40,,82.59,-254.474,673.719
Point.41,,83.968,-253.747,674.26
Point.42,,85.419,-253.133,674.746
Point.43,,86.941,-252.663,675.172
Point.44,,88.497,-252.279,675.562
Point.45,,90.062,-251.938,675.957
Point.46,,91.641,-251.666,676.35
Point.47,,93.255,-251.513,676.647
Point.48,,94.896,-251.48,676.808
Point.49,,96.542,-251.512,676.924
Point.50,,98.185,-251.581,677.051
Point.51,,99.826,-251.716,677.155
Point.52,,101.459,-251.943,677.181
Point.53,,103.079,-252.249,677.126
Point.54,,104.69,-252.592,677.033
Point.55,,106.294,-252.959,676.919
Point.56,,107.885,-253.368,676.762
Point.57,,109.453,-253.831,676.543
Point.58,,110.999,-254.335,676.268
Point.59,,112.535,-254.858,675.966
Point.60,,114.06,-255.395,675.641
Point.61,,115.569,-255.955,675.279
Point.62,,117.056,-256.535,674.876
Point.63,,118.536,-257.126,674.438
Point.64,,120.007,-257.72,673.984
Point.65,,121.47,-258.321,673.515
Point.66,,122.923,-258.927,673.021
Point.67,,124.371,-259.525,672.503
Point.68,,125.818,-260.108,671.969
Point.69,,127.265,-260.686,671.425
Point.70,,128.708,-261.263,670.872
Point.71,,130.151,-261.829,670.307
Point.72,,131.6,-262.367,669.731
Point.73,,133.058,-262.876,669.151
Point.74,,134.522,-263.37,668.574
Point.75,,135.994,-263.85,668.005
Point.76,,137.477,-264.302,667.441
Point.77,,138.975,-264.71,666.88
Point.78,,140.484,-265.08,666.328
Point.79,,142.004,-265.426,665.788
Point.80,,143.534,-265.748,665.262
Point.81,,145.081,-266.026,664.76
Point.82,,146.648,-266.244,664.295
Point.83,,148.231,-266.416,663.861
Point.84,,149.821,-266.56,663.445
Point.85,,151.417,-266.671,663.05
Point.86,,153.029,-266.726,662.697
Point.87,,154.652,-266.707,662.402
Point.88,,156.281,-266.638,662.151
Point.89,,157.913,-266.538,661.93
Point.90,,159.544,-266.399,661.75
Point.91,,161.179,-266.195,661.631
Point.92,,162.804,-265.919,661.586
Point.93,,164.421,-265.593,661.6
Point.94,,166.03,-265.231,661.651
Point.95,,167.625,-264.82,661.746
Point.96,,169.186,-264.333,661.957
Point.97,,170.711,-263.789,662.275
Point.98,,172.248,-263.254,662.544
Point.99,,173.776,-262.685,662.79
Point.100,,175.145,-261.922,663.282
