Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,163.32,,,
1st Vector Length,20,,,
2nd Vector Length,19.99743,,,
1st vector Start Point,,0,-20,0
1st vector End Point,,0,0,0
2nd vector Start Point,,119.29,40.28,-7.09
2nd vector End Point,,127.25,58.17,-11.15
1st Vector Direction,,0,1,0
2nd Vector Direction,,0.397886,0.894614,-0.203355
Point.1,,0,0,0
Point.2,,0.167,1.633,-0.156
Point.3,,0.005,3.271,-0.15
Point.4,,-0.164,4.91,-0.093
Point.5,,-0.107,6.56,-0.131
Point.6,,-0.079,8.21,-0.145
Point.7,,-0.084,9.861,-0.126
Point.8,,-0.021,11.511,-0.107
Point.9,,0.092,13.158,-0.067
Point.10,,0.238,14.8,0.008
Point.11,,0.439,16.436,0.11
Point.12,,0.701,18.061,0.233
Point.13,,1.019,19.675,0.376
Point.14,,1.388,21.276,0.545
Point.15,,1.813,22.859,0.74
Point.16,,2.301,24.42,0.964
Point.17,,2.85,25.957,1.217
Point.18,,3.461,27.466,1.492
Point.19,,4.136,28.943,1.786
Point.20,,4.878,30.383,2.103
Point.21,,5.684,31.783,2.448
Point.22,,6.554,33.137,2.814
Point.23,,7.487,34.443,3.199
Point.24,,8.478,35.697,3.613
Point.25,,9.528,36.894,4.05
Point.26,,10.642,38.031,4.491
Point.27,,11.813,39.104,4.94
Point.28,,13.034,40.112,5.407
Point.29,,14.305,41.05,5.885
Point.30,,15.627,41.915,6.366
Point.31,,16.995,42.707,6.843
Point.32,,18.405,43.423,7.316
Point.33,,19.854,44.062,7.783
Point.34,,21.337,44.622,8.245
Point.35,,22.849,45.104,8.699
Point.36,,24.388,45.51,9.138
Point.37,,25.949,45.842,9.562
Point.38,,27.527,46.099,9.972
Point.39,,29.12,46.282,10.367
Point.40,,30.722,46.394,10.747
Point.41,,32.333,46.439,11.108
Point.42,,33.948,46.416,11.449
Point.43,,35.567,46.324,11.76
Point.44,,37.187,46.17,12.036
Point.45,,38.806,45.961,12.282
Point.46,,40.421,45.699,12.509
Point.47,,42.026,45.383,12.727
Point.48,,43.623,45.012,12.927
Point.49,,45.21,44.59,13.098
Point.50,,46.787,44.123,13.236
Point.51,,48.357,43.621,13.344
Point.52,,49.918,43.09,13.42
Point.53,,51.472,42.532,13.46
Point.54,,53.016,41.949,13.48
Point.55,,54.552,41.342,13.481
Point.56,,56.08,40.718,13.447
Point.57,,57.598,40.074,13.374
Point.58,,59.108,39.413,13.272
Point.59,,60.614,38.749,13.145
Point.60,,62.119,38.086,12.994
Point.61,,63.618,37.416,12.821
Point.62,,65.112,36.743,12.618
Point.63,,66.604,36.076,12.383
Point.64,,68.097,35.419,12.124
Point.65,,69.591,34.776,11.842
Point.66,,71.084,34.145,11.53
Point.67,,72.58,33.531,11.193
Point.68,,74.08,32.938,10.841
Point.69,,75.584,32.369,10.47
Point.70,,77.091,31.824,10.072
Point.71,,78.6,31.307,9.645
Point.72,,80.113,30.821,9.194
Point.73,,81.631,30.373,8.725
Point.74,,83.154,29.963,8.238
Point.75,,84.682,29.593,7.734
Point.76,,86.215,29.267,7.213
Point.77,,87.749,28.989,6.67
Point.78,,89.283,28.76,6.103
Point.79,,90.819,28.584,5.525
Point.80,,92.359,28.467,4.939
Point.81,,93.896,28.41,4.341
Point.82,,95.428,28.415,3.727
Point.83,,96.956,28.484,3.103
Point.84,,98.477,28.617,2.477
Point.85,,99.989,28.817,1.844
Point.86,,101.487,29.081,1.2
Point.87,,102.968,29.409,0.548
Point.88,,104.433,29.806,-0.1
Point.89,,105.879,30.281,-0.739
Point.90,,107.301,30.834,-1.372
Point.91,,108.693,31.461,-2
Point.92,,110.052,32.162,-2.621
Point.93,,111.371,32.942,-3.234
Point.94,,112.653,33.788,-3.84
Point.95,,113.893,34.707,-4.427
Point.96,,115.071,35.727,-4.971
Point.97,,116.214,36.793,-5.504
Point.98,,117.362,37.834,-6.075
Point.99,,118.447,38.938,-6.643
Point.100,,119.29,40.28,-7.09
