Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,163.32,,,
1st Vector Length,20,,,
2nd Vector Length,19.99738,,,
1st vector Start Point,,0,-20,0
1st vector End Point,,0,0,0
2nd vector Start Point,,118.55,14.68,4.72
2nd vector End Point,,133.51,27.91,5.75
1st Vector Direction,,0,1,0
2nd Vector Direction,,0.748178,0.661493,0.051541
Point.1,,0,0,0
Point.2,,-0.011,1.652,-0.066
Point.3,,-0.042,3.304,-0.113
Point.4,,-0.081,4.957,-0.07
Point.5,,-0.114,6.61,-0.046
Point.6,,-0.118,8.264,-0.056
Point.7,,-0.085,9.917,-0.059
Point.8,,-0.02,11.569,-0.039
Point.9,,0.075,13.219,0.015
Point.10,,0.221,14.863,0.115
Point.11,,0.441,16.496,0.252
Point.12,,0.714,18.12,0.403
Point.13,,1.012,19.74,0.555
Point.14,,1.386,21.338,0.75
Point.15,,1.86,22.902,1.007
Point.16,,2.34,24.461,1.278
Point.17,,2.849,26.008,1.562
Point.18,,3.508,27.484,1.903
Point.19,,4.25,28.914,2.277
Point.20,,4.985,30.348,2.649
Point.21,,5.798,31.729,3.056
Point.22,,6.723,33.022,3.509
Point.23,,7.682,34.285,3.978
Point.24,,8.675,35.513,4.467
Point.25,,9.747,36.656,4.993
Point.26,,10.897,37.71,5.542
Point.27,,12.094,38.706,6.098
Point.28,,13.328,39.652,6.662
Point.29,,14.632,40.488,7.239
Point.30,,15.999,41.208,7.828
Point.31,,17.374,41.906,8.424
Point.32,,18.782,42.536,9.018
Point.33,,20.264,42.985,9.596
Point.34,,21.769,43.367,10.166
Point.35,,23.272,43.751,10.737
Point.36,,24.815,43.977,11.283
Point.37,,26.383,44.054,11.804
Point.38,,27.951,44.128,12.323
Point.39,,29.524,44.134,12.832
Point.40,,31.101,43.993,13.308
Point.41,,32.677,43.784,13.764
Point.42,,34.252,43.536,14.203
Point.43,,35.818,43.198,14.611
Point.44,,37.37,42.765,14.98
Point.45,,38.913,42.276,15.319
Point.46,,40.449,41.756,15.641
Point.47,,41.966,41.163,15.929
Point.48,,43.45,40.475,16.174
Point.49,,44.921,39.76,16.415
Point.50,,46.385,39.027,16.644
Point.51,,47.815,38.211,16.799
Point.52,,49.217,37.341,16.906
Point.53,,50.622,36.477,17.018
Point.54,,52.011,35.583,17.1
Point.55,,53.367,34.637,17.127
Point.56,,54.718,33.683,17.138
Point.57,,56.064,32.723,17.128
Point.58,,57.39,31.737,17.072
Point.59,,58.704,30.737,16.978
Point.60,,60.015,29.734,16.87
Point.61,,61.317,28.722,16.747
Point.62,,62.614,27.709,16.588
Point.63,,63.91,26.702,16.387
Point.64,,65.201,25.692,16.173
Point.65,,66.495,24.686,15.948
Point.66,,67.799,23.703,15.69
Point.67,,69.108,22.73,15.416
Point.68,,70.418,21.759,15.141
Point.69,,71.74,20.814,14.835
Point.70,,73.077,19.903,14.493
Point.71,,74.421,19.005,14.146
Point.72,,75.776,18.123,13.795
Point.73,,77.148,17.279,13.424
Point.74,,78.542,16.477,13.038
Point.75,,79.947,15.7,12.643
Point.76,,81.361,14.944,12.238
Point.77,,82.803,14.249,11.823
Point.78,,84.271,13.616,11.399
Point.79,,85.739,12.987,10.97
Point.80,,87.224,12.4,10.541
Point.81,,88.75,11.923,10.122
Point.82,,90.289,11.48,9.707
Point.83,,91.827,11.038,9.292
Point.84,,93.393,10.701,8.882
Point.85,,94.978,10.46,8.48
Point.86,,96.566,10.228,8.081
Point.87,,98.163,10.051,7.691
Point.88,,99.773,9.982,7.321
Point.89,,101.389,9.976,6.967
Point.90,,103.007,10.012,6.627
Point.91,,104.625,10.124,6.308
Point.92,,106.24,10.336,6.023
Point.93,,107.848,10.625,5.772
Point.94,,109.453,10.952,5.539
Point.95,,111.041,11.36,5.333
Point.96,,112.584,11.926,5.158
Point.97,,114.07,12.633,4.997
Point.98,,115.571,13.307,4.839
Point.99,,117.124,13.864,4.72
Point.100,,118.55,14.68,4.72
