Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,163.32,,,
1st Vector Length,20,,,
2nd Vector Length,20.00213,,,
1st vector Start Point,,0,-20,0
1st vector End Point,,0,0,0
2nd vector Start Point,,120.27,27.27,-0.32
2nd vector End Point,,132.15,43.29,-1.84
1st Vector Direction,,0,1,0
2nd Vector Direction,,0.594022,0.800874,-0.075753
Point.1,,0,0,0
Point.2,,-0.009,1.649,-0.074
Point.3,,-0.039,3.298,-0.153
Point.4,,-0.079,4.947,-0.105
Point.5,,-0.096,6.596,-0.031
Point.6,,-0.089,8.247,-0.023
Point.7,,-0.068,9.897,-0.044
Point.8,,0.005,11.546,-0.027
Point.9,,0.138,13.19,0.045
Point.10,,0.277,14.833,0.136
Point.11,,0.454,16.47,0.247
Point.12,,0.749,18.087,0.402
Point.13,,1.094,19.692,0.574
Point.14,,1.438,21.298,0.746
Point.15,,1.876,22.873,0.967
Point.16,,2.427,24.405,1.241
Point.17,,3.002,25.926,1.525
Point.18,,3.612,27.431,1.824
Point.19,,4.314,28.886,2.163
Point.20,,5.099,30.29,2.535
Point.21,,5.926,31.663,2.927
Point.22,,6.795,33.005,3.34
Point.23,,7.752,34.275,3.782
Point.24,,8.796,35.465,4.249
Point.25,,9.853,36.643,4.72
Point.26,,10.947,37.78,5.201
Point.27,,12.165,38.774,5.704
Point.28,,13.441,39.691,6.212
Point.29,,14.71,40.616,6.721
Point.30,,16.045,41.431,7.245
Point.31,,17.458,42.093,7.784
Point.32,,18.885,42.727,8.321
Point.33,,20.332,43.317,8.852
Point.34,,21.829,43.773,9.376
Point.35,,23.356,44.133,9.888
Point.36,,24.898,44.447,10.387
Point.37,,26.458,44.691,10.871
Point.38,,28.037,44.826,11.333
Point.39,,29.627,44.863,11.775
Point.40,,31.218,44.864,12.216
Point.41,,32.812,44.809,12.641
Point.42,,34.408,44.624,13.015
Point.43,,36.004,44.374,13.358
Point.44,,37.6,44.13,13.702
Point.45,,39.185,43.793,14.016
Point.46,,40.749,43.34,14.288
Point.47,,42.311,42.877,14.555
Point.48,,43.868,42.388,14.804
Point.49,,45.396,41.797,15.001
Point.50,,46.907,41.153,15.164
Point.51,,48.418,40.505,15.314
Point.52,,49.917,39.822,15.435
Point.53,,51.396,39.094,15.513
Point.54,,52.863,38.339,15.558
Point.55,,54.321,37.565,15.587
Point.56,,55.768,36.769,15.591
Point.57,,57.202,35.953,15.547
Point.58,,58.63,35.127,15.481
Point.59,,60.057,34.299,15.417
Point.60,,61.476,33.462,15.306
Point.61,,62.881,32.613,15.134
Point.62,,64.284,31.762,14.954
Point.63,,65.692,30.919,14.77
Point.64,,67.099,30.087,14.542
Point.65,,68.508,29.265,14.287
Point.66,,69.922,28.453,14.026
Point.67,,71.338,27.652,13.744
Point.68,,72.76,26.876,13.43
Point.69,,74.192,26.125,13.095
Point.70,,75.627,25.384,12.748
Point.71,,77.066,24.663,12.384
Point.72,,78.524,23.996,11.989
Point.73,,79.99,23.361,11.577
Point.74,,81.456,22.724,11.162
Point.75,,82.939,22.143,10.727
Point.76,,84.443,21.644,10.265
Point.77,,85.948,21.153,9.799
Point.78,,87.46,20.683,9.331
Point.79,,88.993,20.312,8.844
Point.80,,90.537,20.003,8.348
Point.81,,92.085,19.71,7.853
Point.82,,93.641,19.476,7.355
Point.83,,95.207,19.331,6.853
Point.84,,96.777,19.248,6.349
Point.85,,98.347,19.2,5.843
Point.86,,99.918,19.211,5.335
Point.87,,101.488,19.332,4.839
Point.88,,103.054,19.519,4.352
Point.89,,104.62,19.714,3.867
Point.90,,106.174,20.01,3.395
Point.91,,107.698,20.452,2.942
Point.92,,109.216,20.914,2.485
Point.93,,110.73,21.4,2.041
Point.94,,112.201,22.035,1.648
Point.95,,113.62,22.793,1.278
Point.96,,115.026,23.563,0.886
Point.97,,116.44,24.32,0.493
Point.98,,117.838,25.123,0.14
Point.99,,119.152,26.079,-0.142
Point.100,,120.27,27.27,-0.32
