Parameter,L,X,Y,Z
Hose Length,280.9,,,
Spline Length,217.6,,,
1st Vector Length,15,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,94.646,-19.914,31.138
1st  Vector  End Point,,95.121,-5.516,31.981
2nd Vector  Point,,48.45,-30.298,35.078
2nd  Vector  End Point,,41.22,-44.68,34.88
1st Vector Direction,,0.032965,0.997747,0.058428
2nd Vector Direction,,-0.449209,-0.893345,-0.012072
Point.1,,95.121,-5.516,31.981
Point.2,,95.321,-3.336,32.163
Point.3,,95.752,-1.199,32.437
Point.4,,96.361,0.885,32.771
Point.5,,97.085,2.93,33.129
Point.6,,97.87,4.953,33.478
Point.7,,98.68,6.971,33.798
Point.8,,99.499,8.992,34.078
Point.9,,100.327,11.013,34.322
Point.10,,101.173,13.031,34.535
Point.11,,102.045,15.04,34.726
Point.12,,102.941,17.039,34.895
Point.13,,103.856,19.033,35.04
Point.14,,104.777,21.026,35.154
Point.15,,105.69,23.024,35.228
Point.16,,106.582,25.033,35.259
Point.17,,107.444,27.055,35.247
Point.18,,108.268,29.092,35.191
Point.19,,109.048,31.144,35.095
Point.20,,109.778,33.213,34.958
Point.21,,110.449,35.299,34.778
Point.22,,111.05,37.4,34.546
Point.23,,111.571,39.516,34.258
Point.24,,111.999,41.643,33.906
Point.25,,112.322,43.776,33.49
Point.26,,112.529,45.912,33.014
Point.27,,112.61,48.043,32.484
Point.28,,112.556,50.163,31.908
Point.29,,112.357,52.264,31.293
Point.30,,112.004,54.334,30.645
Point.31,,111.489,56.36,29.966
Point.32,,110.805,58.325,29.259
Point.33,,109.948,60.211,28.527
Point.34,,108.919,62.001,27.774
Point.35,,107.722,63.676,27.005
Point.36,,106.365,65.22,26.229
Point.37,,104.858,66.618,25.454
Point.38,,103.213,67.859,24.69
Point.39,,101.445,68.93,23.946
Point.40,,99.568,69.823,23.234
Point.41,,97.599,70.531,22.564
Point.42,,95.555,71.051,21.944
Point.43,,93.457,71.38,21.382
Point.44,,91.322,71.521,20.883
Point.45,,89.168,71.478,20.449
Point.46,,87.013,71.257,20.08
Point.47,,84.872,70.864,19.778
Point.48,,82.76,70.305,19.542
Point.49,,80.69,69.587,19.374
Point.50,,78.675,68.715,19.273
Point.51,,76.727,67.699,19.238
Point.52,,74.856,66.546,19.268
Point.53,,73.069,65.27,19.36
Point.54,,71.373,63.88,19.511
Point.55,,69.771,62.39,19.716
Point.56,,68.266,60.809,19.973
Point.57,,66.858,59.149,20.277
Point.58,,65.55,57.418,20.628
Point.59,,64.341,55.625,21.02
Point.60,,63.232,53.777,21.451
Point.61,,62.222,51.881,21.917
Point.62,,61.313,49.943,22.413
Point.63,,60.504,47.966,22.931
Point.64,,59.794,45.956,23.467
Point.65,,59.181,43.917,24.015
Point.66,,58.663,41.855,24.57
Point.67,,58.232,39.773,25.127
Point.68,,57.882,37.676,25.684
Point.69,,57.604,35.567,26.238
Point.70,,57.391,33.449,26.787
Point.71,,57.232,31.325,27.331
Point.72,,57.121,29.196,27.868
Point.73,,57.047,27.064,28.398
Point.74,,57.004,24.93,28.921
Point.75,,56.983,22.793,29.436
Point.76,,56.978,20.654,29.943
Point.77,,56.982,18.513,30.441
Point.78,,56.99,16.37,30.928
Point.79,,56.998,14.223,31.403
Point.80,,57.001,12.074,31.862
Point.81,,56.997,9.92,32.301
Point.82,,56.982,7.761,32.716
Point.83,,56.952,5.598,33.104
Point.84,,56.902,3.43,33.461
Point.85,,56.824,1.257,33.786
Point.86,,56.707,-0.919,34.075
Point.87,,56.54,-3.096,34.33
Point.88,,56.312,-5.271,34.551
Point.89,,56.013,-7.44,34.739
Point.90,,55.638,-9.601,34.893
Point.91,,55.187,-11.748,35.015
Point.92,,54.663,-13.881,35.106
Point.93,,54.073,-15.998,35.167
Point.94,,53.424,-18.097,35.2
Point.95,,52.721,-20.18,35.208
Point.96,,51.969,-22.245,35.197
Point.97,,51.167,-24.292,35.172
Point.98,,50.315,-26.318,35.14
Point.99,,49.409,-28.32,35.107
Point.100,,48.45,-30.298,35.078
