Parameter,L,X,Y,Z
Hose Length,250.3,,,
Spline Length,183.7,,,
1st Vector Length,17,,,
2nd Vector Length,16.5,,,
1st Vector  Point,,214.765,-21.24,31.13
1st  Vector  End Point,,214.34,-4.208,30.951
2nd Vector  Point,,204.098,-2.249,57.606
2nd  Vector  End Point,,214.097,10.801,59.59
1st Vector Direction,,-0.024944,0.999633,-0.010536
2nd Vector Direction,,0.60382,0.788066,0.119803
Point.1,,214.34,-4.208,30.951
Point.2,,214.073,-2.378,30.804
Point.3,,213.733,-0.562,30.629
Point.4,,213.325,1.236,30.423
Point.5,,212.855,3.015,30.184
Point.6,,212.326,4.772,29.911
Point.7,,211.739,6.505,29.601
Point.8,,211.096,8.21,29.255
Point.9,,210.396,9.886,28.875
Point.10,,209.638,11.528,28.461
Point.11,,208.821,13.134,28.017
Point.12,,207.944,14.699,27.545
Point.13,,207.005,16.219,27.045
Point.14,,206.001,17.689,26.523
Point.15,,204.931,19.104,25.979
Point.16,,203.795,20.459,25.417
Point.17,,202.592,21.749,24.842
Point.18,,201.32,22.967,24.259
Point.19,,199.982,24.11,23.672
Point.20,,198.579,25.174,23.085
Point.21,,197.115,26.153,22.503
Point.22,,195.593,27.046,21.93
Point.23,,194.017,27.849,21.371
Point.24,,192.391,28.558,20.828
Point.25,,190.721,29.172,20.303
Point.26,,189.011,29.686,19.799
Point.27,,187.268,30.099,19.317
Point.28,,185.497,30.406,18.857
Point.29,,183.705,30.605,18.421
Point.30,,181.898,30.694,18.009
Point.31,,180.083,30.669,17.626
Point.32,,178.267,30.527,17.273
Point.33,,176.458,30.269,16.954
Point.34,,174.663,29.895,16.671
Point.35,,172.89,29.407,16.427
Point.36,,171.145,28.809,16.226
Point.37,,169.436,28.104,16.071
Point.38,,167.769,27.296,15.964
Point.39,,166.151,26.39,15.908
Point.40,,164.589,25.39,15.903
Point.41,,163.09,24.298,15.944
Point.42,,161.66,23.118,16.018
Point.43,,160.306,21.855,16.114
Point.44,,159.027,20.515,16.237
Point.45,,157.829,19.11,16.418
Point.46,,156.715,17.646,16.655
Point.47,,155.692,16.126,16.947
Point.48,,154.765,14.556,17.293
Point.49,,153.939,12.944,17.692
Point.50,,153.219,11.295,18.142
Point.51,,152.606,9.617,18.644
Point.52,,152.104,7.918,19.195
Point.53,,151.712,6.207,19.794
Point.54,,151.43,4.491,20.44
Point.55,,151.257,2.778,21.131
Point.56,,151.195,1.076,21.867
Point.57,,151.242,-0.608,22.645
Point.58,,151.396,-2.266,23.463
Point.59,,151.655,-3.891,24.319
Point.60,,152.019,-5.476,25.211
Point.61,,152.484,-7.016,26.136
Point.62,,153.049,-8.503,27.09
Point.63,,153.712,-9.932,28.07
Point.64,,154.471,-11.295,29.073
Point.65,,155.323,-12.588,30.096
Point.66,,156.263,-13.805,31.134
Point.67,,157.286,-14.941,32.185
Point.68,,158.386,-15.992,33.245
Point.69,,159.56,-16.954,34.313
Point.70,,160.8,-17.823,35.384
Point.71,,162.101,-18.596,36.458
Point.72,,163.457,-19.27,37.53
Point.73,,164.862,-19.843,38.597
Point.74,,166.311,-20.312,39.657
Point.75,,167.797,-20.678,40.705
Point.76,,169.318,-20.939,41.736
Point.77,,170.866,-21.096,42.745
Point.78,,172.437,-21.15,43.73
Point.79,,174.026,-21.105,44.687
Point.80,,175.627,-20.963,45.614
Point.81,,177.235,-20.728,46.509
Point.82,,178.845,-20.401,47.371
Point.83,,180.45,-19.983,48.203
Point.84,,182.044,-19.474,49.004
Point.85,,183.622,-18.877,49.775
Point.86,,185.179,-18.193,50.518
Point.87,,186.71,-17.426,51.232
Point.88,,188.215,-16.581,51.914
Point.89,,189.694,-15.666,52.559
Point.90,,191.149,-14.686,53.162
Point.91,,192.579,-13.646,53.723
Point.92,,193.977,-12.544,54.248
Point.93,,195.336,-11.383,54.745
Point.94,,196.654,-10.167,55.221
Point.95,,197.935,-8.905,55.678
Point.96,,199.181,-7.602,56.119
Point.97,,200.398,-6.266,56.537
Point.98,,201.604,-4.911,56.928
Point.99,,202.828,-3.563,57.284
Point.100,,204.098,-2.249,57.606
