Parameter,L,X,Y,Z
Hose Length,250.3,,,
Spline Length,183.7,,,
1st Vector Length,17,,,
2nd Vector Length,16.5,,,
1st Vector  Point,,214.866,-21.429,31.143
1st  Vector  End Point,,214.442,-4.435,30.964
2nd Vector  Point,,185.61,-22.532,57.384
2nd  Vector  End Point,,198.068,-32.492,59.578
1st Vector Direction,,-0.024944,0.999633,-0.010536
2nd Vector Direction,,0.773791,-0.61861,0.13627
Point.1,,214.442,-4.435,30.964
Point.2,,214.295,-2.579,30.851
Point.3,,214.058,-0.739,30.65
Point.4,,213.757,1.083,30.382
Point.5,,213.421,2.892,30.072
Point.6,,213.071,4.694,29.735
Point.7,,212.715,6.491,29.382
Point.8,,212.35,8.284,29.014
Point.9,,211.964,10.067,28.624
Point.10,,211.542,11.837,28.208
Point.11,,211.072,13.586,27.761
Point.12,,210.548,15.312,27.282
Point.13,,209.97,17.012,26.776
Point.14,,209.338,18.687,26.249
Point.15,,208.657,20.337,25.706
Point.16,,207.925,21.963,25.154
Point.17,,207.143,23.562,24.596
Point.18,,206.306,25.132,24.035
Point.19,,205.411,26.671,23.474
Point.20,,204.455,28.173,22.917
Point.21,,203.437,29.637,22.367
Point.22,,202.358,31.061,21.83
Point.23,,201.218,32.444,21.308
Point.24,,200.02,33.783,20.806
Point.25,,198.762,35.074,20.325
Point.26,,197.445,36.314,19.865
Point.27,,196.068,37.493,19.424
Point.28,,194.63,38.604,19.001
Point.29,,193.132,39.639,18.595
Point.30,,191.575,40.593,18.209
Point.31,,189.966,41.465,17.847
Point.32,,188.309,42.255,17.517
Point.33,,186.609,42.968,17.225
Point.34,,184.872,43.603,16.979
Point.35,,183.102,44.16,16.783
Point.36,,181.303,44.634,16.639
Point.37,,179.48,45.019,16.549
Point.38,,177.637,45.307,16.51
Point.39,,175.78,45.492,16.522
Point.40,,173.917,45.568,16.585
Point.41,,172.055,45.535,16.699
Point.42,,170.202,45.392,16.864
Point.43,,168.367,45.14,17.082
Point.44,,166.556,44.783,17.353
Point.45,,164.778,44.32,17.679
Point.46,,163.041,43.756,18.06
Point.47,,161.353,43.091,18.497
Point.48,,159.723,42.33,18.99
Point.49,,158.157,41.475,19.537
Point.50,,156.664,40.532,20.136
Point.51,,155.249,39.503,20.786
Point.52,,153.921,38.395,21.485
Point.53,,152.684,37.213,22.229
Point.54,,151.544,35.962,23.015
Point.55,,150.505,34.651,23.84
Point.56,,149.57,33.284,24.7
Point.57,,148.743,31.87,25.592
Point.58,,148.023,30.415,26.512
Point.59,,147.414,28.926,27.456
Point.60,,146.914,27.408,28.419
Point.61,,146.524,25.868,29.398
Point.62,,146.244,24.312,30.388
Point.63,,146.071,22.745,31.386
Point.64,,146.005,21.173,32.389
Point.65,,146.042,19.601,33.394
Point.66,,146.181,18.035,34.398
Point.67,,146.418,16.479,35.4
Point.68,,146.75,14.936,36.396
Point.69,,147.174,13.412,37.385
Point.70,,147.686,11.908,38.363
Point.71,,148.282,10.427,39.329
Point.72,,148.959,8.971,40.279
Point.73,,149.711,7.541,41.213
Point.74,,150.536,6.139,42.127
Point.75,,151.429,4.766,43.02
Point.76,,152.386,3.421,43.89
Point.77,,153.402,2.104,44.737
Point.78,,154.47,0.813,45.558
Point.79,,155.584,-0.453,46.355
Point.80,,156.74,-1.698,47.128
Point.81,,157.934,-2.922,47.876
Point.82,,159.164,-4.123,48.6
Point.83,,160.432,-5.3,49.3
Point.84,,161.741,-6.446,49.975
Point.85,,163.091,-7.558,50.625
Point.86,,164.48,-8.637,51.249
Point.87,,165.9,-9.687,51.85
Point.88,,167.34,-10.723,52.43
Point.89,,168.787,-11.759,52.992
Point.90,,170.231,-12.806,53.539
Point.91,,171.67,-13.869,54.07
Point.92,,173.114,-14.934,54.581
Point.93,,174.583,-15.979,55.064
Point.94,,176.094,-16.979,55.51
Point.95,,177.658,-17.914,55.912
Point.96,,179.268,-18.787,56.266
Point.97,,180.903,-19.629,56.579
Point.98,,182.531,-20.497,56.862
Point.99,,184.113,-21.449,57.127
Point.100,,185.61,-22.532,57.384
