Parameter,L,X,Y,Z
Hose Length,280.9,,,
Spline Length,217.6,,,
1st Vector Length,15,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,94.598,-20.083,31.125
1st  Vector  End Point,,95.077,-5.565,31.975
2nd Vector  Point,,38.252,-31.438,35.055
2nd  Vector  End Point,,24.656,-40.06,34.884
1st Vector Direction,,0.032965,0.997747,0.058428
2nd Vector Direction,,-0.844459,-0.535515,-0.01065
Point.1,,95.077,-5.565,31.975
Point.2,,95.305,-2.943,32.187
Point.3,,95.774,-0.82,32.47
Point.4,,96.433,1.243,32.813
Point.5,,97.209,3.263,33.174
Point.6,,98.041,5.263,33.518
Point.7,,98.893,7.261,33.821
Point.8,,99.752,9.263,34.075
Point.9,,100.622,11.266,34.285
Point.10,,101.513,13.262,34.458
Point.11,,102.436,15.247,34.604
Point.12,,103.389,17.219,34.725
Point.13,,104.363,19.182,34.819
Point.14,,105.344,21.143,34.878
Point.15,,106.316,23.109,34.895
Point.16,,107.267,25.085,34.862
Point.17,,108.188,27.074,34.774
Point.18,,109.072,29.076,34.629
Point.19,,109.914,31.091,34.425
Point.20,,110.708,33.119,34.162
Point.21,,111.444,35.159,33.837
Point.22,,112.112,37.212,33.449
Point.23,,112.697,39.276,32.996
Point.24,,113.186,41.35,32.475
Point.25,,113.565,43.428,31.884
Point.26,,113.82,45.502,31.221
Point.27,,113.94,47.565,30.486
Point.28,,113.914,49.604,29.679
Point.29,,113.731,51.607,28.806
Point.30,,113.382,53.559,27.87
Point.31,,112.859,55.446,26.882
Point.32,,112.155,57.248,25.851
Point.33,,111.267,58.949,24.789
Point.34,,110.196,60.528,23.71
Point.35,,108.947,61.968,22.626
Point.36,,107.532,63.251,21.55
Point.37,,105.963,64.36,20.494
Point.38,,104.257,65.282,19.47
Point.39,,102.434,66.005,18.491
Point.40,,100.514,66.52,17.566
Point.41,,98.519,66.82,16.708
Point.42,,96.472,66.905,15.926
Point.43,,94.397,66.779,15.23
Point.44,,92.315,66.453,14.625
Point.45,,90.245,65.94,14.116
Point.46,,88.202,65.257,13.706
Point.47,,86.2,64.419,13.395
Point.48,,84.251,63.436,13.182
Point.49,,82.369,62.318,13.065
Point.50,,80.564,61.072,13.042
Point.51,,78.849,59.707,13.108
Point.52,,77.232,58.234,13.258
Point.53,,75.719,56.663,13.487
Point.54,,74.312,55.008,13.789
Point.55,,73.013,53.281,14.16
Point.56,,71.819,51.493,14.593
Point.57,,70.728,49.654,15.084
Point.58,,69.737,47.775,15.628
Point.59,,68.841,45.863,16.22
Point.60,,68.035,43.924,16.856
Point.61,,67.317,41.964,17.529
Point.62,,66.684,39.986,18.234
Point.63,,66.134,37.993,18.965
Point.64,,65.663,35.987,19.717
Point.65,,65.268,33.97,20.484
Point.66,,64.939,31.945,21.259
Point.67,,64.666,29.913,22.038
Point.68,,64.439,27.875,22.817
Point.69,,64.246,25.832,23.592
Point.70,,64.077,23.785,24.362
Point.71,,63.923,21.734,25.125
Point.72,,63.779,19.68,25.88
Point.73,,63.637,17.622,26.626
Point.74,,63.492,15.561,27.362
Point.75,,63.336,13.497,28.086
Point.76,,63.161,11.428,28.796
Point.77,,62.957,9.357,29.487
Point.78,,62.717,7.283,30.159
Point.79,,62.433,5.207,30.809
Point.80,,62.096,3.132,31.434
Point.81,,61.7,1.06,32.033
Point.82,,61.238,-1.008,32.603
Point.83,,60.703,-3.067,33.136
Point.84,,60.09,-5.116,33.623
Point.85,,59.392,-7.15,34.053
Point.86,,58.602,-9.163,34.417
Point.87,,57.716,-11.148,34.71
Point.88,,56.727,-13.092,34.935
Point.89,,55.63,-14.984,35.101
Point.90,,54.424,-16.811,35.224
Point.91,,53.108,-18.564,35.314
Point.92,,51.69,-20.236,35.379
Point.93,,50.185,-21.83,35.419
Point.94,,48.61,-23.357,35.429
Point.95,,46.981,-24.826,35.405
Point.96,,45.312,-26.248,35.346
Point.97,,43.608,-27.625,35.263
Point.98,,41.865,-28.955,35.173
Point.99,,40.081,-30.229,35.098
Point.100,,38.252,-31.438,35.055
