Parameter,L,X,Y,Z
Hose Length,280.9,,,
Spline Length,217.6,,,
1st Vector Length,15,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,94.475,-20.747,31.027
1st  Vector  End Point,,94.97,-5.781,31.903
2nd Vector  Point,,56.755,-24.311,35.042
2nd  Vector  End Point,,57.616,-40.379,34.847
1st Vector Direction,,0.032965,0.997747,0.058428
2nd Vector Direction,,0.053514,-0.998494,-0.012067
Point.1,,94.97,-5.781,31.903
Point.2,,95.11,-3.591,32.033
Point.3,,95.38,-1.414,32.166
Point.4,,95.758,0.747,32.302
Point.5,,96.218,2.892,32.438
Point.6,,96.733,5.025,32.575
Point.7,,97.279,7.15,32.709
Point.8,,97.843,9.271,32.836
Point.9,,98.415,11.39,32.954
Point.10,,98.993,13.508,33.056
Point.11,,99.577,15.626,33.139
Point.12,,100.167,17.743,33.198
Point.13,,100.76,19.859,33.23
Point.14,,101.353,21.976,33.235
Point.15,,101.935,24.095,33.212
Point.16,,102.499,26.22,33.16
Point.17,,103.033,28.35,33.078
Point.18,,103.529,30.489,32.965
Point.19,,103.978,32.635,32.818
Point.20,,104.373,34.79,32.633
Point.21,,104.705,36.951,32.408
Point.22,,104.969,39.117,32.139
Point.23,,105.155,41.284,31.826
Point.24,,105.257,43.451,31.468
Point.25,,105.265,45.612,31.067
Point.26,,105.17,47.763,30.627
Point.27,,104.964,49.899,30.151
Point.28,,104.637,52.012,29.642
Point.29,,104.184,54.095,29.106
Point.30,,103.597,56.137,28.544
Point.31,,102.872,58.128,27.96
Point.32,,102.007,60.057,27.359
Point.33,,101,61.91,26.744
Point.34,,99.851,63.677,26.119
Point.35,,98.565,65.344,25.49
Point.36,,97.144,66.899,24.863
Point.37,,95.595,68.33,24.243
Point.38,,93.927,69.626,23.638
Point.39,,92.149,70.777,23.052
Point.40,,90.274,71.777,22.494
Point.41,,88.314,72.621,21.969
Point.42,,86.283,73.305,21.481
Point.43,,84.196,73.829,21.036
Point.44,,82.065,74.19,20.637
Point.45,,79.904,74.388,20.289
Point.46,,77.726,74.421,19.994
Point.47,,75.546,74.288,19.755
Point.48,,73.376,73.989,19.574
Point.49,,71.231,73.527,19.453
Point.50,,69.124,72.907,19.392
Point.51,,67.066,72.135,19.392
Point.52,,65.068,71.222,19.452
Point.53,,63.138,70.176,19.571
Point.54,,61.286,69.007,19.747
Point.55,,59.517,67.724,19.978
Point.56,,57.837,66.334,20.259
Point.57,,56.253,64.847,20.587
Point.58,,54.77,63.268,20.957
Point.59,,53.392,61.604,21.364
Point.60,,52.123,59.864,21.804
Point.61,,50.967,58.054,22.272
Point.62,,49.927,56.182,22.766
Point.63,,49.005,54.254,23.28
Point.64,,48.202,52.279,23.812
Point.65,,47.518,50.262,24.358
Point.66,,46.952,48.212,24.912
Point.67,,46.5,46.135,25.469
Point.68,,46.157,44.036,26.025
Point.69,,45.917,41.921,26.573
Point.70,,45.774,39.795,27.111
Point.71,,45.721,37.661,27.636
Point.72,,45.749,35.523,28.146
Point.73,,45.852,33.384,28.643
Point.74,,46.023,31.247,29.127
Point.75,,46.253,29.113,29.6
Point.76,,46.538,26.983,30.064
Point.77,,46.871,24.858,30.52
Point.78,,47.245,22.739,30.968
Point.79,,47.657,20.625,31.407
Point.80,,48.101,18.515,31.835
Point.81,,48.574,16.408,32.249
Point.82,,49.073,14.304,32.642
Point.83,,49.593,12.2,33.01
Point.84,,50.133,10.096,33.346
Point.85,,50.686,7.99,33.645
Point.86,,51.247,5.88,33.905
Point.87,,51.807,3.766,34.126
Point.88,,52.354,1.646,34.315
Point.89,,52.88,-0.483,34.476
Point.90,,53.375,-2.62,34.617
Point.91,,53.835,-4.766,34.743
Point.92,,54.262,-6.919,34.854
Point.93,,54.661,-9.079,34.949
Point.94,,55.041,-11.243,35.023
Point.95,,55.406,-13.41,35.073
Point.96,,55.757,-15.58,35.099
Point.97,,56.083,-17.753,35.102
Point.98,,56.37,-19.933,35.089
Point.99,,56.598,-22.119,35.067
Point.100,,56.755,-24.311,35.042
