Parameter,L,X,Y,Z
Hose Length,250.3,,,
Spline Length,183.7,,,
1st Vector Length,17,,,
2nd Vector Length,16.5,,,
1st Vector  Point,,214.844,-23.164,31.128
1st  Vector  End Point,,214.371,-4.171,30.927
2nd Vector  Point,,201.589,-12.058,57.575
2nd  Vector  End Point,,216.75,-5.85,59.53
1st Vector Direction,,-0.024944,0.999633,-0.010536
2nd Vector Direction,,0.918909,0.376269,0.118442
Point.1,,214.371,-4.171,30.927
Point.2,,214.243,-2.322,30.856
Point.3,,213.965,-0.496,30.688
Point.4,,213.566,1.299,30.442
Point.5,,213.085,3.065,30.14
Point.6,,212.551,4.809,29.801
Point.7,,211.983,6.538,29.436
Point.8,,211.386,8.251,29.049
Point.9,,210.755,9.948,28.64
Point.10,,210.08,11.62,28.203
Point.11,,209.348,13.26,27.737
Point.12,,208.554,14.861,27.241
Point.13,,207.694,16.42,26.718
Point.14,,206.77,17.934,26.175
Point.15,,205.781,19.401,25.616
Point.16,,204.73,20.82,25.048
Point.17,,203.613,22.186,24.474
Point.18,,202.431,23.494,23.896
Point.19,,201.181,24.737,23.317
Point.20,,199.865,25.909,22.739
Point.21,,198.483,27.006,22.164
Point.22,,197.04,28.023,21.595
Point.23,,195.541,28.961,21.034
Point.24,,193.989,29.818,20.485
Point.25,,192.391,30.594,19.952
Point.26,,190.749,31.288,19.439
Point.27,,189.067,31.901,18.95
Point.28,,187.35,32.43,18.489
Point.29,,185.6,32.874,18.06
Point.30,,183.823,33.229,17.666
Point.31,,182.022,33.493,17.307
Point.32,,180.203,33.66,16.984
Point.33,,178.371,33.726,16.697
Point.34,,176.533,33.689,16.447
Point.35,,174.696,33.546,16.234
Point.36,,172.865,33.298,16.061
Point.37,,171.048,32.946,15.931
Point.38,,169.251,32.494,15.846
Point.39,,167.48,31.945,15.809
Point.40,,165.74,31.3,15.821
Point.41,,164.039,30.562,15.883
Point.42,,162.384,29.731,15.992
Point.43,,160.783,28.808,16.149
Point.44,,159.242,27.795,16.351
Point.45,,157.769,26.694,16.6
Point.46,,156.372,25.511,16.895
Point.47,,155.056,24.249,17.238
Point.48,,153.828,22.914,17.63
Point.49,,152.694,21.515,18.073
Point.50,,151.657,20.057,18.565
Point.51,,150.721,18.55,19.108
Point.52,,149.888,17.002,19.7
Point.53,,149.16,15.42,20.339
Point.54,,148.54,13.813,21.026
Point.55,,148.03,12.186,21.758
Point.56,,147.634,10.548,22.533
Point.57,,147.354,8.906,23.35
Point.58,,147.194,7.268,24.206
Point.59,,147.151,5.641,25.097
Point.60,,147.223,4.033,26.019
Point.61,,147.407,2.451,26.969
Point.62,,147.696,0.899,27.944
Point.63,,148.088,-0.617,28.939
Point.64,,148.58,-2.091,29.953
Point.65,,149.169,-3.518,30.981
Point.66,,149.854,-4.892,32.022
Point.67,,150.632,-6.209,33.072
Point.68,,151.501,-7.464,34.127
Point.69,,152.457,-8.652,35.183
Point.70,,153.495,-9.772,36.237
Point.71,,154.609,-10.82,37.286
Point.72,,155.795,-11.797,38.326
Point.73,,157.048,-12.7,39.355
Point.74,,158.362,-13.528,40.369
Point.75,,159.733,-14.281,41.366
Point.76,,161.157,-14.959,42.344
Point.77,,162.628,-15.561,43.301
Point.78,,164.142,-16.086,44.235
Point.79,,165.697,-16.534,45.143
Point.80,,167.287,-16.906,46.023
Point.81,,168.909,-17.201,46.874
Point.82,,170.558,-17.423,47.695
Point.83,,172.23,-17.574,48.485
Point.84,,173.92,-17.661,49.245
Point.85,,175.625,-17.688,49.977
Point.86,,177.341,-17.657,50.682
Point.87,,179.066,-17.571,51.359
Point.88,,180.798,-17.426,52.007
Point.89,,182.535,-17.217,52.625
Point.90,,184.275,-16.943,53.209
Point.91,,186.013,-16.605,53.762
Point.92,,187.75,-16.212,54.284
Point.93,,189.483,-15.777,54.783
Point.94,,191.215,-15.316,55.263
Point.95,,192.947,-14.84,55.729
Point.96,,194.68,-14.354,56.179
Point.97,,196.414,-13.85,56.603
Point.98,,198.148,-13.312,56.988
Point.99,,199.875,-12.719,57.317
Point.100,,201.589,-12.058,57.575
