Parameter,L,X,Y,Z
Hose Length,250.3,,,
Spline Length,183.7,,,
1st Vector Length,17,,,
2nd Vector Length,16.5,,,
1st Vector  Point,,214.83,-20.83,31.12
1st  Vector  End Point,,214.403,-3.831,30.939
2nd Vector  Point,,194.785,-19.237,57.543
2nd  Vector  End Point,,210.908,-21.612,59.542
1st Vector Direction,,-0.024944,0.999633,-0.010536
2nd Vector Direction,,0.981977,-0.144605,0.1217
Point.1,,214.403,-3.831,30.939
Point.2,,214.205,-1.994,30.779
Point.3,,213.911,-0.18,30.525
Point.4,,213.549,1.611,30.202
Point.5,,213.147,3.384,29.833
Point.6,,212.724,5.147,29.435
Point.7,,212.287,6.901,29.017
Point.8,,211.83,8.646,28.582
Point.9,,211.343,10.378,28.128
Point.10,,210.814,12.092,27.652
Point.11,,210.234,13.782,27.153
Point.12,,209.599,15.446,26.634
Point.13,,208.909,17.083,26.097
Point.14,,208.165,18.691,25.549
Point.15,,207.368,20.272,24.992
Point.16,,206.518,21.823,24.431
Point.17,,205.613,23.342,23.867
Point.18,,204.651,24.825,23.304
Point.19,,203.628,26.267,22.742
Point.20,,202.544,27.665,22.182
Point.21,,201.396,29.013,21.628
Point.22,,200.184,30.308,21.082
Point.23,,198.91,31.546,20.547
Point.24,,197.574,32.723,20.026
Point.25,,196.179,33.837,19.522
Point.26,,194.725,34.883,19.038
Point.27,,193.216,35.859,18.575
Point.28,,191.655,36.761,18.136
Point.29,,190.045,37.585,17.723
Point.30,,188.39,38.329,17.337
Point.31,,186.692,38.987,16.981
Point.32,,184.957,39.558,16.657
Point.33,,183.188,40.036,16.366
Point.34,,181.39,40.419,16.112
Point.35,,179.569,40.702,15.897
Point.36,,177.731,40.882,15.724
Point.37,,175.882,40.956,15.594
Point.38,,174.029,40.923,15.51
Point.39,,172.18,40.78,15.474
Point.40,,170.342,40.527,15.488
Point.41,,168.524,40.163,15.553
Point.42,,166.733,39.691,15.67
Point.43,,164.979,39.112,15.841
Point.44,,163.27,38.428,16.067
Point.45,,161.612,37.643,16.348
Point.46,,160.015,36.761,16.685
Point.47,,158.486,35.787,17.077
Point.48,,157.032,34.725,17.525
Point.49,,155.66,33.582,18.027
Point.50,,154.376,32.363,18.582
Point.51,,153.186,31.075,19.188
Point.52,,152.096,29.725,19.842
Point.53,,151.109,28.318,20.541
Point.54,,150.229,26.863,21.283
Point.55,,149.458,25.366,22.063
Point.56,,148.799,23.835,22.877
Point.57,,148.251,22.278,23.723
Point.58,,147.815,20.701,24.598
Point.59,,147.491,19.111,25.498
Point.60,,147.278,17.516,26.421
Point.61,,147.174,15.922,27.366
Point.62,,147.179,14.337,28.329
Point.63,,147.29,12.765,29.309
Point.64,,147.503,11.213,30.302
Point.65,,147.815,9.683,31.305
Point.66,,148.22,8.181,32.316
Point.67,,148.715,6.709,33.33
Point.68,,149.296,5.269,34.345
Point.69,,149.96,3.863,35.358
Point.70,,150.703,2.493,36.365
Point.71,,151.522,1.161,37.364
Point.72,,152.414,-0.131,38.352
Point.73,,153.376,-1.383,39.327
Point.74,,154.403,-2.593,40.288
Point.75,,155.491,-3.761,41.234
Point.76,,156.637,-4.885,42.164
Point.77,,157.837,-5.966,43.077
Point.78,,159.089,-7.004,43.971
Point.79,,160.389,-7.998,44.845
Point.80,,161.735,-8.949,45.697
Point.81,,163.126,-9.856,46.526
Point.82,,164.557,-10.719,47.331
Point.83,,166.025,-11.54,48.116
Point.84,,167.526,-12.317,48.881
Point.85,,169.056,-13.054,49.628
Point.86,,170.613,-13.75,50.358
Point.87,,172.197,-14.408,51.066
Point.88,,173.808,-15.027,51.747
Point.89,,175.448,-15.609,52.393
Point.90,,177.115,-16.152,52.998
Point.91,,178.811,-16.653,53.562
Point.92,,180.531,-17.106,54.089
Point.93,,182.272,-17.507,54.59
Point.94,,184.029,-17.85,55.078
Point.95,,185.798,-18.136,55.56
Point.96,,187.575,-18.373,56.037
Point.97,,189.361,-18.579,56.496
Point.98,,191.158,-18.776,56.915
Point.99,,192.966,-18.99,57.271
Point.100,,194.785,-19.237,57.543
