Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,192.2,,,
1st Vector Length,20,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,345.402,-20.348,30.96
1st  Vector  End Point,,345.531,-0.351,30.629
2nd Vector  Point,,323.816,-35.617,56.741
2nd  Vector  End Point,,337.777,-43.376,54.813
1st Vector Direction,,0.006453,0.999842,-0.016572
2nd Vector Direction,,0.867774,-0.482286,-0.119866
Point.1,,345.531,-0.351,30.629
Point.2,,345.487,1.588,30.585
Point.3,,345.339,3.523,30.516
Point.4,,345.103,5.447,30.426
Point.5,,344.802,7.362,30.313
Point.6,,344.455,9.267,30.181
Point.7,,344.073,11.164,30.029
Point.8,,343.657,13.052,29.858
Point.9,,343.2,14.929,29.668
Point.10,,342.692,16.791,29.46
Point.11,,342.121,18.633,29.235
Point.12,,341.481,20.449,28.993
Point.13,,340.769,22.237,28.738
Point.14,,339.984,23.992,28.471
Point.15,,339.125,25.71,28.194
Point.16,,338.195,27.39,27.906
Point.17,,337.191,29.024,27.609
Point.18,,336.114,30.609,27.302
Point.19,,334.961,32.138,26.986
Point.20,,333.731,33.605,26.661
Point.21,,332.427,35.004,26.332
Point.22,,331.049,36.331,26.005
Point.23,,329.599,37.582,25.687
Point.24,,328.082,38.754,25.385
Point.25,,326.499,39.841,25.106
Point.26,,324.853,40.839,24.851
Point.27,,323.148,41.736,24.622
Point.28,,321.386,42.525,24.419
Point.29,,319.574,43.197,24.239
Point.30,,317.719,43.745,24.084
Point.31,,315.828,44.166,23.957
Point.32,,313.913,44.463,23.862
Point.33,,311.98,44.638,23.806
Point.34,,310.041,44.695,23.794
Point.35,,308.101,44.64,23.829
Point.36,,306.169,44.474,23.913
Point.37,,304.252,44.198,24.046
Point.38,,302.358,43.814,24.226
Point.39,,300.494,43.324,24.451
Point.40,,298.666,42.729,24.719
Point.41,,296.881,42.032,25.03
Point.42,,295.145,41.239,25.383
Point.43,,293.465,40.352,25.779
Point.44,,291.845,39.378,26.217
Point.45,,290.29,38.319,26.697
Point.46,,288.807,37.18,27.217
Point.47,,287.399,35.967,27.777
Point.48,,286.072,34.682,28.373
Point.49,,284.828,33.332,29.003
Point.50,,283.673,31.92,29.665
Point.51,,282.608,30.452,30.357
Point.52,,281.637,28.932,31.075
Point.53,,280.763,27.367,31.818
Point.54,,279.986,25.761,32.582
Point.55,,279.308,24.119,33.365
Point.56,,278.729,22.448,34.164
Point.57,,278.248,20.751,34.975
Point.58,,277.866,19.035,35.796
Point.59,,277.58,17.303,36.625
Point.60,,277.389,15.561,37.46
Point.61,,277.292,13.813,38.298
Point.62,,277.285,12.063,39.138
Point.63,,277.369,10.315,39.978
Point.64,,277.541,8.573,40.816
Point.65,,277.799,6.839,41.65
Point.66,,278.143,5.118,42.48
Point.67,,278.571,3.413,43.302
Point.68,,279.081,1.726,44.115
Point.69,,279.672,0.06,44.917
Point.70,,280.342,-1.583,45.705
Point.71,,281.089,-3.199,46.477
Point.72,,281.911,-4.788,47.231
Point.73,,282.806,-6.345,47.967
Point.74,,283.769,-7.87,48.683
Point.75,,284.8,-9.36,49.38
Point.76,,285.894,-10.814,50.057
Point.77,,287.049,-12.229,50.712
Point.78,,288.263,-13.606,51.344
Point.79,,289.533,-14.944,51.949
Point.80,,290.857,-16.241,52.524
Point.81,,292.234,-17.497,53.066
Point.82,,293.661,-18.712,53.574
Point.83,,295.135,-19.883,54.045
Point.84,,296.656,-21.008,54.482
Point.85,,298.218,-22.086,54.885
Point.86,,299.819,-23.12,55.254
Point.87,,301.453,-24.113,55.588
Point.88,,303.115,-25.073,55.882
Point.89,,304.798,-26.007,56.135
Point.90,,306.496,-26.924,56.343
Point.91,,308.205,-27.829,56.509
Point.92,,309.923,-28.724,56.638
Point.93,,311.649,-29.607,56.741
Point.94,,313.384,-30.472,56.829
Point.95,,315.128,-31.32,56.908
Point.96,,316.88,-32.154,56.975
Point.97,,318.634,-32.985,57.015
Point.98,,320.382,-33.829,57.007
Point.99,,322.113,-34.702,56.922
Point.100,,323.816,-35.617,56.741
