Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,192.2,,,
1st Vector Length,20,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,345.598,-20.462,30.568
1st  Vector  End Point,,345.729,-0.226,30.215
2nd Vector  Point,,293.536,-39.192,56.847
2nd  Vector  End Point,,293.481,-55.17,54.873
1st Vector Direction,,0.006453,0.999842,-0.016572
2nd Vector Direction,,-0.003399,-0.992446,-0.122632
Point.1,,345.729,-0.226,30.215
Point.2,,345.733,1.707,30.031
Point.3,,345.717,3.637,29.825
Point.4,,345.682,5.565,29.598
Point.5,,345.624,7.49,29.352
Point.6,,345.541,9.411,29.089
Point.7,,345.431,11.33,28.81
Point.8,,345.292,13.244,28.519
Point.9,,345.12,15.154,28.216
Point.10,,344.913,17.059,27.904
Point.11,,344.667,18.957,27.582
Point.12,,344.378,20.848,27.252
Point.13,,344.042,22.73,26.912
Point.14,,343.656,24.601,26.565
Point.15,,343.214,26.458,26.211
Point.16,,342.713,28.298,25.851
Point.17,,342.148,30.119,25.486
Point.18,,341.516,31.918,25.118
Point.19,,340.812,33.689,24.749
Point.20,,340.034,35.428,24.38
Point.21,,339.179,37.132,24.014
Point.22,,338.244,38.795,23.652
Point.23,,337.229,40.411,23.297
Point.24,,336.133,41.975,22.952
Point.25,,334.952,43.479,22.618
Point.26,,333.686,44.916,22.3
Point.27,,332.332,46.275,22.001
Point.28,,330.893,47.548,21.724
Point.29,,329.371,48.725,21.471
Point.30,,327.769,49.799,21.248
Point.31,,326.096,50.764,21.061
Point.32,,324.359,51.619,20.917
Point.33,,322.568,52.361,20.824
Point.34,,320.733,52.991,20.784
Point.35,,318.862,53.507,20.801
Point.36,,316.964,53.908,20.876
Point.37,,315.049,54.193,21.011
Point.38,,313.125,54.36,21.208
Point.39,,311.202,54.406,21.468
Point.40,,309.29,54.331,21.792
Point.41,,307.398,54.133,22.178
Point.42,,305.535,53.818,22.624
Point.43,,303.71,53.389,23.128
Point.44,,301.931,52.852,23.687
Point.45,,300.204,52.211,24.299
Point.46,,298.536,51.47,24.96
Point.47,,296.933,50.634,25.665
Point.48,,295.401,49.705,26.411
Point.49,,293.944,48.688,27.193
Point.50,,292.567,47.586,28.005
Point.51,,291.271,46.407,28.84
Point.52,,290.057,45.154,29.693
Point.53,,288.925,43.835,30.556
Point.54,,287.875,42.454,31.427
Point.55,,286.908,41.016,32.302
Point.56,,286.021,39.529,33.179
Point.57,,285.214,37.997,34.057
Point.58,,284.488,36.426,34.936
Point.59,,283.842,34.819,35.813
Point.60,,283.274,33.182,36.688
Point.61,,282.78,31.519,37.56
Point.62,,282.356,29.835,38.427
Point.63,,282.002,28.131,39.288
Point.64,,281.714,26.411,40.14
Point.65,,281.488,24.677,40.982
Point.66,,281.323,22.93,41.814
Point.67,,281.218,21.174,42.634
Point.68,,281.17,19.409,43.441
Point.69,,281.177,17.636,44.233
Point.70,,281.235,15.858,45.01
Point.71,,281.344,14.075,45.77
Point.72,,281.499,12.288,46.512
Point.73,,281.699,10.497,47.236
Point.74,,281.94,8.705,47.941
Point.75,,282.219,6.91,48.626
Point.76,,282.539,5.114,49.29
Point.77,,282.897,3.317,49.931
Point.78,,283.291,1.519,50.549
Point.79,,283.717,-0.279,51.143
Point.80,,284.172,-2.078,51.714
Point.81,,284.651,-3.879,52.259
Point.82,,285.15,-5.682,52.778
Point.83,,285.666,-7.487,53.271
Point.84,,286.195,-9.297,53.735
Point.85,,286.735,-11.11,54.17
Point.86,,287.282,-12.928,54.573
Point.87,,287.833,-14.753,54.944
Point.88,,288.385,-16.583,55.282
Point.89,,288.935,-18.421,55.584
Point.90,,289.478,-20.265,55.849
Point.91,,290.01,-22.118,56.077
Point.92,,290.524,-23.981,56.27
Point.93,,291.009,-25.854,56.429
Point.94,,291.463,-27.737,56.555
Point.95,,291.882,-29.63,56.647
Point.96,,292.264,-31.533,56.71
Point.97,,292.615,-33.441,56.754
Point.98,,292.941,-35.355,56.785
Point.99,,293.246,-37.272,56.814
Point.100,,293.536,-39.192,56.847
