Parameter,L,X,Y,Z
Hose Length,280.9,,,
Spline Length,217.6,,,
1st Vector Length,15,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,94.53,-21.25,31.031
1st  Vector  End Point,,95.024,-6.283,31.907
2nd Vector  Point,,29.052,-26.552,35.639
2nd  Vector  End Point,,13.013,-27.741,34.896
1st Vector Direction,,0.032965,0.997747,0.058428
2nd Vector Direction,,-0.996202,-0.073825,-0.046162
Point.1,,95.024,-6.283,31.907
Point.2,,95.211,-4.103,32.102
Point.3,,95.611,-1.966,32.418
Point.4,,96.186,0.116,32.823
Point.5,,96.887,2.148,33.277
Point.6,,97.674,4.146,33.747
Point.7,,98.514,6.125,34.205
Point.8,,99.39,8.094,34.637
Point.9,,100.293,10.057,35.037
Point.10,,101.223,12.014,35.406
Point.11,,102.179,13.963,35.75
Point.12,,103.158,15.905,36.07
Point.13,,104.154,17.842,36.364
Point.14,,105.157,19.78,36.628
Point.15,,106.155,21.725,36.853
Point.16,,107.136,23.684,37.031
Point.17,,108.09,25.66,37.154
Point.18,,109.008,27.656,37.215
Point.19,,109.883,29.672,37.21
Point.20,,110.706,31.709,37.133
Point.21,,111.468,33.765,36.981
Point.22,,112.155,35.839,36.748
Point.23,,112.753,37.93,36.431
Point.24,,113.245,40.033,36.023
Point.25,,113.614,42.14,35.522
Point.26,,113.844,44.242,34.926
Point.27,,113.923,46.326,34.233
Point.28,,113.839,48.376,33.445
Point.29,,113.585,50.373,32.566
Point.30,,113.154,52.3,31.602
Point.31,,112.54,54.134,30.56
Point.32,,111.742,55.855,29.452
Point.33,,110.758,57.438,28.289
Point.34,,109.595,58.861,27.086
Point.35,,108.261,60.103,25.86
Point.36,,106.771,61.146,24.628
Point.37,,105.144,61.974,23.406
Point.38,,103.402,62.577,22.21
Point.39,,101.57,62.948,21.057
Point.40,,99.67,63.084,19.961
Point.41,,97.73,62.99,18.936
Point.42,,95.771,62.675,17.993
Point.43,,93.815,62.15,17.141
Point.44,,91.881,61.43,16.386
Point.45,,89.986,60.53,15.735
Point.46,,88.143,59.464,15.19
Point.47,,86.365,58.249,14.754
Point.48,,84.664,56.898,14.425
Point.49,,83.048,55.426,14.2
Point.50,,81.526,53.846,14.074
Point.51,,80.102,52.173,14.038
Point.52,,78.781,50.417,14.084
Point.53,,77.565,48.591,14.203
Point.54,,76.453,46.704,14.389
Point.55,,75.444,44.768,14.638
Point.56,,74.533,42.792,14.949
Point.57,,73.715,40.786,15.32
Point.58,,72.983,38.759,15.751
Point.59,,72.329,36.718,16.236
Point.60,,71.745,34.668,16.772
Point.61,,71.222,32.613,17.351
Point.62,,70.752,30.557,17.968
Point.63,,70.329,28.499,18.614
Point.64,,69.949,26.442,19.287
Point.65,,69.607,24.385,19.984
Point.66,,69.302,22.33,20.701
Point.67,,69.03,20.277,21.439
Point.68,,68.785,18.228,22.195
Point.69,,68.556,16.183,22.966
Point.70,,68.332,14.142,23.75
Point.71,,68.099,12.105,24.543
Point.72,,67.843,10.073,25.341
Point.73,,67.554,8.046,26.141
Point.74,,67.223,6.026,26.941
Point.75,,66.842,4.013,27.737
Point.76,,66.406,2.009,28.526
Point.77,,65.905,0.016,29.306
Point.78,,65.333,-1.963,30.072
Point.79,,64.677,-3.924,30.819
Point.80,,63.927,-5.859,31.54
Point.81,,63.074,-7.764,32.23
Point.82,,62.109,-9.629,32.878
Point.83,,61.028,-11.447,33.475
Point.84,,59.83,-13.209,34.014
Point.85,,58.516,-14.906,34.485
Point.86,,57.088,-16.527,34.883
Point.87,,55.548,-18.061,35.208
Point.88,,53.9,-19.493,35.461
Point.89,,52.148,-20.806,35.649
Point.90,,50.299,-21.986,35.779
Point.91,,48.362,-23.02,35.863
Point.92,,46.349,-23.899,35.909
Point.93,,44.273,-24.62,35.927
Point.94,,42.15,-25.185,35.926
Point.95,,39.993,-25.606,35.911
Point.96,,37.816,-25.904,35.885
Point.97,,35.628,-26.11,35.849
Point.98,,33.436,-26.264,35.798
Point.99,,31.243,-26.401,35.729
Point.100,,29.052,-26.552,35.639
